GeneName	Expression	enhancer_count	ATAC_count	H3K27ac_count	H3K4me3_count	RE_count	GeneName_MeanExpression
NOP56	3517.6666666666665	1.0	0.0	0.0	0.0	0.0	NOP56 3517.6666666666665
NOP58	3235.6666666666665	25.0	0.0	0.0	1.0	0.0	NOP58 3235.6666666666665
NOSIP	1943.8333333333333	2.0	0.0	0.0	0.0	0.0	NOSIP 1943.8333333333333
NOSTRIN	10.333333333333334	21.0	1.0	0.0	0.0	1.0	NOSTRIN 10.333333333333334
NOVA1	1.6666666666666667	1.0	0.0	0.0	0.0	0.0	NOVA1 1.6666666666666667
NOX4	14.666666666666666	123.0	0.0	0.0	0.0	0.0	NOX4 14.666666666666666
NOXRED1	8.833333333333334	1.0	0.0	0.0	0.0	0.0	NOXRED1 8.833333333333334
NPAS2	74.5	16.0	0.0	0.0	0.0	0.0	NPAS2 74.5
NPAS3	15.5	3.0	0.0	0.0	0.0	0.0	NPAS3 15.5
NPAT	1701.8333333333333	115.0	0.0	0.0	0.0	0.0	NPAT 1701.8333333333333
NPC1	827.5	225.0	13.0	7.0	0.0	15.0	NPC1 827.5
NPFFR2	12.166666666666666	1.0	0.0	0.0	0.0	0.0	NPFFR2 12.166666666666666
NPL	115.16666666666669	42.0	5.0	7.0	5.0	8.0	NPL 115.16666666666669
NPM1	19321.666666666668	23.0	0.0	0.0	0.0	0.0	NPM1 19321.666666666668
NPM3	239.33333333333331	40.0	0.0	0.0	0.0	0.0	NPM3 239.33333333333331
NPR2	101.0	49.0	2.0	0.0	0.0	2.0	NPR2 101.0
NPRL2	1692.1666666666667	13.0	2.0	1.0	1.0	2.0	NPRL2 1692.1666666666667
NPTN	727.5	33.0	0.0	0.0	0.0	0.0	NPTN 727.5
NPTX2	28.666666666666668	18.0	0.0	0.0	0.0	0.0	NPTX2 28.666666666666668
NPW	3.5	27.0	3.0	0.0	0.0	3.0	NPW 3.5
NQO1	502.6666666666667	140.0	10.0	4.0	8.0	10.0	NQO1 502.6666666666667
NQO2	2483.6666666666665	243.0	27.0	7.0	0.0	33.0	NQO2 2483.6666666666665
NR1D1	900.0	19.0	2.0	1.0	0.0	3.0	NR1D1 900.0
NR1I2	17.666666666666668	1.0	0.0	0.0	0.0	0.0	NR1I2 17.666666666666668
NR1I3	72.33333333333333	427.0	11.0	3.0	3.0	11.0	NR1I3 72.33333333333333
NR2C1	792.3333333333334	102.0	6.0	1.0	2.0	6.0	NR2C1 792.3333333333334
NR2C2	1198.3333333333333	66.0	2.0	6.0	2.0	6.0	NR2C2 1198.3333333333333
NR2C2AP	689.3333333333334	52.0	3.0	0.0	2.0	3.0	NR2C2AP 689.3333333333334
NR2F1	7.333333333333333	11.0	0.0	0.0	0.0	0.0	NR2F1 7.333333333333333
NR3C1	3216.333333333333	221.0	13.0	19.0	0.0	29.0	NR3C1 3216.333333333333
NR3C2	320.5	1.0	0.0	0.0	0.0	0.0	NR3C2 320.5
NR4A1	980.8333333333334	14.0	10.0	0.0	2.0	10.0	NR4A1 980.8333333333334
NR4A2	567.8333333333334	193.0	19.0	0.0	12.0	19.0	NR4A2 567.8333333333334
NR4A3	63.16666666666666	421.0	17.0	4.0	7.0	15.0	NR4A3 63.16666666666666
NR5A2	79.16666666666667	3.0	0.0	0.0	0.0	0.0	NR5A2 79.16666666666667
NR6A1	281.8333333333333	95.0	13.0	1.0	4.0	13.0	NR6A1 281.8333333333333
NRAS	1188.8333333333333	143.0	9.0	5.0	4.0	11.0	NRAS 1188.8333333333333
NRBP1	2483.1666666666665	98.0	3.0	2.0	1.0	4.0	NRBP1 2483.1666666666665
NRCAM	2.333333333333333	84.0	2.0	0.0	0.0	2.0	NRCAM 2.333333333333333
NRDC	2695.0	58.0	8.0	4.0	10.0	9.0	NRDC 2695.0
NRDE2	1362.3333333333333	15.0	3.0	0.0	0.0	3.0	NRDE2 1362.3333333333333
NREP	321.5	169.0	10.0	11.0	5.0	14.0	NREP 321.5
NRG1	5.666666666666667	2.0	0.0	0.0	0.0	0.0	NRG1 5.666666666666667
NRGN	0.3333333333333333	16.0	3.0	0.0	2.0	3.0	NRGN 0.3333333333333333
NRIP1	1120.3333333333333	46.0	2.0	0.0	0.0	2.0	NRIP1 1120.3333333333333
NRL	16.166666666666668	131.0	11.0	4.0	7.0	15.0	NRL 16.166666666666668
NRM	317.5	110.0	9.0	0.0	8.0	9.0	NRM 317.5
NRN1L	3.8333333333333335	20.0	3.0	0.0	0.0	3.0	NRN1L 3.8333333333333335
NRP1	5683.5	5.0	0.0	0.0	1.0	0.0	NRP1 5683.5
NRP2	33.333333333333336	10.0	0.0	0.0	0.0	0.0	NRP2 33.333333333333336
NRROS	136.0	23.0	4.0	1.0	0.0	5.0	NRROS 136.0
NRSN2	222.33333333333331	45.0	1.0	0.0	0.0	1.0	NRSN2 222.33333333333331
NRXN1	4.0	12.0	1.0	0.0	0.0	1.0	NRXN1 4.0
NRXN2	1.8333333333333333	20.0	0.0	0.0	0.0	0.0	NRXN2 1.8333333333333333
NRXN3	53.833333333333336	42.0	0.0	0.0	0.0	0.0	NRXN3 53.833333333333336
NSMCE1	8499.833333333334	549.0	54.0	34.0	14.0	68.0	NSMCE1 8499.833333333334
NSMCE3	265.0	18.0	0.0	0.0	0.0	0.0	NSMCE3 265.0
NSUN6	612.1666666666666	28.0	7.0	3.0	6.0	7.0	NSUN6 612.1666666666666
NSUN7	2.5	4.0	0.0	0.0	0.0	0.0	NSUN7 2.5
NT5C	55.16666666666666	22.0	2.0	0.0	1.0	2.0	NT5C 55.16666666666666
NT5C2	3947.0	75.0	0.0	0.0	0.0	0.0	NT5C2 3947.0
NT5C3A	366.0	184.0	11.0	0.0	5.0	11.0	NT5C3A 366.0
NT5DC1	1239.5	11.0	1.0	0.0	0.0	1.0	NT5DC1 1239.5
NT5DC4	40.5	167.0	3.0	1.0	0.0	3.0	NT5DC4 40.5
NT5E	378.0	369.0	8.0	6.0	0.0	10.0	NT5E 378.0
NTMT1	1101.3333333333333	32.0	0.0	0.0	0.0	0.0	NTMT1 1101.3333333333333
NTPCR	2457.6666666666665	75.0	12.0	0.0	2.0	12.0	NTPCR 2457.6666666666665
NTRK1	4.833333333333333	72.0	1.0	1.0	0.0	2.0	NTRK1 4.833333333333333
NTRK2	10.0	1.0	0.0	0.0	0.0	0.0	NTRK2 10.0
NUAK2	250.16666666666663	20.0	6.0	0.0	0.0	6.0	NUAK2 250.16666666666663
NUBP1	298.5	20.0	0.0	0.0	0.0	0.0	NUBP1 298.5
NUBPL	373.6666666666667	20.0	0.0	0.0	0.0	0.0	NUBPL 373.6666666666667
NUCB1	3551.333333333333	139.0	7.0	0.0	5.0	7.0	NUCB1 3551.333333333333
NUCB2	3091.5	328.0	5.0	2.0	2.0	5.0	NUCB2 3091.5
NUCKS1	7184.166666666667	17.0	5.0	0.0	2.0	5.0	NUCKS1 7184.166666666667
NUDCD1	693.3333333333334	62.0	2.0	0.0	0.0	2.0	NUDCD1 693.3333333333334
NUDCD3	2439.5	25.0	2.0	0.0	1.0	2.0	NUDCD3 2439.5
NUDT12	38.5	1.0	0.0	0.0	0.0	0.0	NUDT12 38.5
NUDT13	61.16666666666666	57.0	5.0	3.0	2.0	6.0	NUDT13 61.16666666666666
NUDT15	353.0	50.0	3.0	0.0	1.0	3.0	NUDT15 353.0
NUDT16	587.0	60.0	0.0	0.0	0.0	0.0	NUDT16 587.0
NUDT19	3068.833333333333	23.0	1.0	0.0	0.0	1.0	NUDT19 3068.833333333333
NUDT2	710.3333333333334	238.0	7.0	3.0	6.0	10.0	NUDT2 710.3333333333334
NUDT3	4019.5	143.0	5.0	0.0	0.0	5.0	NUDT3 4019.5
NUDT4	1769.3333333333333	120.0	12.0	1.0	1.0	13.0	NUDT4 1769.3333333333333
NUDT9	777.6666666666666	28.0	4.0	4.0	8.0	6.0	NUDT9 777.6666666666666
NUFIP2	2170.833333333333	24.0	1.0	10.0	3.0	9.0	NUFIP2 2170.833333333333
NUMA1	1876.5	833.0	50.0	8.0	2.0	50.0	NUMA1 1876.5
NUMB	1714.3333333333333	199.0	4.0	3.0	4.0	7.0	NUMB 1714.3333333333333
NUP107	2009.1666666666667	254.0	24.0	23.0	3.0	41.0	NUP107 2009.1666666666667
NUP133	558.1666666666666	31.0	1.0	0.0	0.0	1.0	NUP133 558.1666666666666
NUP153	834.5	23.0	1.0	0.0	1.0	1.0	NUP153 834.5
NUP155	1447.5	25.0	4.0	2.0	4.0	4.0	NUP155 1447.5
NUP160	1278.5	25.0	3.0	0.0	3.0	3.0	NUP160 1278.5
NUP205	414.1666666666667	501.0	20.0	10.0	14.0	26.0	NUP205 414.1666666666667
NUP210	969.1666666666666	20.0	4.0	1.0	3.0	4.0	NUP210 969.1666666666666
NUP214	1319.6666666666667	2.0	0.0	0.0	0.0	0.0	NUP214 1319.6666666666667
NUP35	450.8333333333333	87.0	4.0	2.0	1.0	3.0	NUP35 450.8333333333333
NUP43	1065.0	99.0	4.0	2.0	4.0	5.0	NUP43 1065.0
NUP58	952.3333333333334	48.0	0.0	1.0	1.0	1.0	NUP58 952.3333333333334
NUP62	3547.6666666666665	42.0	4.0	2.0	1.0	4.0	NUP62 3547.6666666666665
NUP85	708.8333333333334	47.0	4.0	0.0	2.0	4.0	NUP85 708.8333333333334
NUP93	1956.0	2.0	0.0	0.0	0.0	0.0	NUP93 1956.0
NUP98	1206.3333333333333	120.0	0.0	0.0	0.0	0.0	NUP98 1206.3333333333333
NUTF2	4748.833333333333	65.0	8.0	0.0	0.0	8.0	NUTF2 4748.833333333333
NUTM1	2.1666666666666665	21.0	0.0	0.0	0.0	0.0	NUTM1 2.1666666666666665
NVL	1154.8333333333333	84.0	4.0	2.0	4.0	2.0	NVL 1154.8333333333333
NXF1	6891.333333333333	181.0	5.0	3.0	4.0	8.0	NXF1 6891.333333333333
NXPE3	1070.6666666666667	296.0	21.0	1.0	17.0	22.0	NXPE3 1070.6666666666667
NXPE4	1.3333333333333333	1.0	0.0	0.0	0.0	0.0	NXPE4 1.3333333333333333
NXPH3	1.6666666666666667	33.0	1.0	0.0	0.0	1.0	NXPH3 1.6666666666666667
NXT2	501.6666666666667	113.0	9.0	0.0	0.0	9.0	NXT2 501.6666666666667
OARD1	1145.0	156.0	9.0	0.0	1.0	9.0	OARD1 1145.0
OAS2	1384.1666666666667	107.0	7.0	2.0	10.0	9.0	OAS2 1384.1666666666667
OAZ3	179.83333333333334	86.0	5.0	0.0	0.0	5.0	OAZ3 179.83333333333334
OCIAD1	3117.333333333333	34.0	4.0	0.0	8.0	4.0	OCIAD1 3117.333333333333
ODC1	173.83333333333334	58.0	6.0	0.0	2.0	6.0	ODC1 173.83333333333334
ODF2	1417.5	132.0	3.0	0.0	0.0	3.0	ODF2 1417.5
ODF2L	2643.5	168.0	10.0	4.0	3.0	14.0	ODF2L 2643.5
OGDH	1145.6666666666667	33.0	8.0	7.0	2.0	14.0	OGDH 1145.6666666666667
OGFR	63.833333333333336	32.0	0.0	0.0	0.0	0.0	OGFR 63.833333333333336
OGFRL1	629.5	103.0	2.0	0.0	0.0	2.0	OGFRL1 629.5
OGG1	1626.0	250.0	6.0	7.0	5.0	8.0	OGG1 1626.0
OGN	27.666666666666668	1.0	0.0	0.0	0.0	0.0	OGN 27.666666666666668
OGT	2758.1666666666665	37.0	5.0	0.0	0.0	5.0	OGT 2758.1666666666665
OLFM2	11.5	37.0	1.0	0.0	0.0	1.0	OLFM2 11.5
OLFML1	28.0	17.0	0.0	0.0	0.0	0.0	OLFML1 28.0
OLFML3	1.0	43.0	2.0	0.0	0.0	2.0	OLFML3 1.0
OLR1	22.0	1.0	0.0	0.0	0.0	0.0	OLR1 22.0
OMA1	935.6666666666666	70.0	0.0	0.0	0.0	0.0	OMA1 935.6666666666666
OMD	76.0	16.0	0.0	0.0	0.0	0.0	OMD 76.0
OMG	15.166666666666666	23.0	0.0	1.0	0.0	1.0	OMG 15.166666666666666
