GeneName	Expression	enhancer_count	ATAC_count	H3K27ac_count	H3K4me3_count	RE_count	GeneName_MeanExpression
ADD3	8211.5	686.0	78.0	0.0	2.0	78.0	ADD3 8211.5
ADGB	97.0	1.0	0.0	0.0	0.0	0.0	ADGB 97.0
ADGRA3	814.75	195.0	17.0	0.0	0.0	17.0	ADGRA3 814.75
ADGRB1	15.0	35.0	1.0	0.0	0.0	1.0	ADGRB1 15.0
ADGRB2	3.5	17.0	0.0	0.0	0.0	0.0	ADGRB2 3.5
ADGRD1	51.75	1.0	0.0	0.0	0.0	0.0	ADGRD1 51.75
ADGRE1	101.25	22.0	2.0	0.0	0.0	2.0	ADGRE1 101.25
ADGRF1	448.75	5.0	0.0	0.0	0.0	0.0	ADGRF1 448.75
ADGRG1	331.25	74.0	5.0	0.0	0.0	5.0	ADGRG1 331.25
ADGRG2	597.75	3.0	0.0	0.0	0.0	0.0	ADGRG2 597.75
ADGRG6	12.25	1.0	0.0	0.0	0.0	0.0	ADGRG6 12.25
ADGRL2	0.25	7.0	0.0	0.0	0.0	0.0	ADGRL2 0.25
ADGRV1	2033.75	6.0	0.0	0.0	0.0	0.0	ADGRV1 2033.75
ADH1B	101.25	1.0	0.0	0.0	0.0	0.0	ADH1B 101.25
ADH4	168.75	1.0	0.0	0.0	0.0	0.0	ADH4 168.75
ADH5	767.0	64.0	5.0	0.0	1.0	5.0	ADH5 767.0
ADH6	14.25	5.0	0.0	0.0	0.0	0.0	ADH6 14.25
ADH7	3.25	14.0	0.0	0.0	0.0	0.0	ADH7 3.25
ADHFE1	156.0	38.0	4.0	0.0	1.0	4.0	ADHFE1 156.0
ADI1	1219.0	15.0	4.0	2.0	2.0	2.0	ADI1 1219.0
ADIPOQ	164.5	470.0	38.0	0.0	1.0	38.0	ADIPOQ 164.5
ADIPOR2	544.0	13.0	2.0	0.0	0.0	2.0	ADIPOR2 544.0
ADK	460.0	2.0	0.0	0.0	0.0	0.0	ADK 460.0
ADNP	1315.25	479.0	61.0	0.0	4.0	61.0	ADNP 1315.25
ADNP2	1887.5	48.0	4.0	0.0	2.0	4.0	ADNP2 1887.5
ADORA2A	342.75	50.0	4.0	0.0	0.0	4.0	ADORA2A 342.75
ADPGK	2523.25	90.0	2.0	0.0	0.0	2.0	ADPGK 2523.25
ADPRHL1	88.25	3.0	0.0	0.0	0.0	0.0	ADPRHL1 88.25
ADPRM	117.25	218.0	11.0	0.0	0.0	11.0	ADPRM 117.25
ADRB2	60.5	68.0	1.0	0.0	0.0	1.0	ADRB2 60.5
ADRB3	21.25	1.0	0.0	0.0	0.0	0.0	ADRB3 21.25
ADRM1	1947.5	107.0	13.0	1.0	2.0	14.0	ADRM1 1947.5
ADSL	1223.0	314.0	40.0	0.0	2.0	40.0	ADSL 1223.0
ADTRP	442.0	424.0	23.0	0.0	0.0	23.0	ADTRP 442.0
AEBP2	2602.0	1.0	0.0	0.0	0.0	0.0	AEBP2 2602.0
AEN	944.75	12.0	1.0	0.0	0.0	1.0	AEN 944.75
AFAP1	476.75	192.0	21.0	0.0	1.0	21.0	AFAP1 476.75
AFAP1L1	11.0	63.0	0.0	0.0	0.0	0.0	AFAP1L1 11.0
AFF1	4759.25	125.0	20.0	0.0	5.0	20.0	AFF1 4759.25
AFF3	1211.75	61.0	7.0	0.0	0.0	7.0	AFF3 1211.75
AFF4	3690.75	1.0	0.0	0.0	0.0	0.0	AFF4 3690.75
AFG3L2	756.5	119.0	0.0	0.0	0.0	0.0	AFG3L2 756.5
AFMID	1871.25	1.0	0.0	0.0	0.0	0.0	AFMID 1871.25
AFTPH	2607.25	581.0	85.0	0.0	3.0	85.0	AFTPH 2607.25
AGA	243.75	367.0	30.0	0.0	6.0	30.0	AGA 243.75
AGAP1	81.5	8.0	0.0	0.0	0.0	0.0	AGAP1 81.5
AGAP2	1748.75	412.0	31.0	0.0	6.0	31.0	AGAP2 1748.75
AGAP3	384.0	71.0	18.0	0.0	0.0	18.0	AGAP3 384.0
AGBL1	42.75	2.0	0.0	0.0	0.0	0.0	AGBL1 42.75
AGBL3	94.0	243.0	14.0	5.0	4.0	14.0	AGBL3 94.0
AGBL4	76.75	1.0	0.0	0.0	0.0	0.0	AGBL4 76.75
AGBL5	388.25	43.0	5.0	0.0	0.0	5.0	AGBL5 388.25
AGFG1	5271.0	61.0	15.0	0.0	0.0	15.0	AGFG1 5271.0
AGFG2	3151.5	336.0	50.0	6.0	15.0	55.0	AGFG2 3151.5
AGL	1036.0	30.0	5.0	2.0	5.0	4.0	AGL 1036.0
AGMO	187.5	4.0	0.0	0.0	0.0	0.0	AGMO 187.5
AGO1	2755.5	1.0	1.0	0.0	1.0	1.0	AGO1 2755.5
AGO3	3415.25	2.0	2.0	0.0	1.0	2.0	AGO3 3415.25
AGPAT1	960.5	14.0	1.0	0.0	2.0	1.0	AGPAT1 960.5
AGPAT3	3333.5	43.0	5.0	0.0	2.0	5.0	AGPAT3 3333.5
AGPAT4	373.75	129.0	4.0	0.0	0.0	4.0	AGPAT4 373.75
AGPAT5	1024.0	440.0	28.0	2.0	8.0	28.0	AGPAT5 1024.0
AHCY	743.75	50.0	2.0	0.0	0.0	2.0	AHCY 743.75
AHCYL1	2690.5	301.0	23.0	2.0	7.0	22.0	AHCYL1 2690.5
AHCYL2	844.5	285.0	16.0	0.0	2.0	16.0	AHCYL2 844.5
AHI1	599.5	115.0	14.0	3.0	1.0	13.0	AHI1 599.5
AHNAK	18251.25	152.0	33.0	0.0	0.0	33.0	AHNAK 18251.25
AHNAK2	3.0	108.0	9.0	0.0	1.0	9.0	AHNAK2 3.0
AHR	2970.75	66.0	16.0	0.0	0.0	16.0	AHR 2970.75
AHSA1	2324.5	486.0	18.0	0.0	3.0	18.0	AHSA1 2324.5
AICDA	153.75	16.0	0.0	0.0	0.0	0.0	AICDA 153.75
AIF1	268.75	101.0	3.0	0.0	0.0	3.0	AIF1 268.75
AIFM1	1066.5	66.0	11.0	0.0	0.0	11.0	AIFM1 1066.5
AIG1	342.75	15.0	1.0	0.0	0.0	1.0	AIG1 342.75
AIM2	551.5	187.0	15.0	0.0	1.0	15.0	AIM2 551.5
AIMP1	749.75	16.0	1.0	0.0	0.0	1.0	AIMP1 749.75
AIP	489.25	126.0	18.0	3.0	8.0	19.0	AIP 489.25
AIPL1	290.0	144.0	4.0	0.0	0.0	4.0	AIPL1 290.0
AJUBA	81.0	325.0	26.0	6.0	9.0	26.0	AJUBA 81.0
AK1	76.25	158.0	13.0	0.0	1.0	13.0	AK1 76.25
