GeneName	Expression	enhancer_count	ATAC_count	H3K27ac_count	H3K4me3_count	RE_count	ATAC_ABC_count	ATAC_CHiCAGO_count	H3K27ac_ABC_count	H3K27ac_CHiCAGO_count	H3K4me3_ABC_count	H3K4me3_CHiCAGO_count	RE_ABC_count	RE_CHiCAGO_count	GeneName_MeanExpression
ACAP3	179.0	2.0	4.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	ACAP3 179.0
ACAT1	582.75	4.0	6.0	0.0	0.0	6.0	1.0	5.0	0.0	0.0	0.0	0.0	1.0	5.0	ACAT1 582.75
ACBD5	796.0	6.0	15.0	0.0	6.0	15.0	4.0	11.0	0.0	0.0	1.0	5.0	4.0	11.0	ACBD5 796.0
ACBD7	1137.5	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ACBD7 1137.5
ACE	147.75	2.0	4.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	ACE 147.75
ACER3	440.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	ACER3 440.0
ACKR3	110.5	20.0	13.0	0.0	4.0	13.0	2.0	11.0	0.0	0.0	0.0	4.0	2.0	11.0	ACKR3 110.5
ACMSD	9.75	7.0	16.0	6.0	2.0	12.0	16.0	0.0	6.0	0.0	2.0	0.0	12.0	0.0	ACMSD 9.75
ACO1	449.5	2.0	4.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	ACO1 449.5
ACOT1	37.75	4.0	14.0	10.0	0.0	20.0	14.0	0.0	10.0	0.0	0.0	0.0	20.0	0.0	ACOT1 37.75
ACOT11	1153.0	2.0	6.0	0.0	1.0	6.0	6.0	0.0	0.0	0.0	1.0	0.0	6.0	0.0	ACOT11 1153.0
ACOT2	229.0	8.0	15.0	2.0	3.0	13.0	10.0	5.0	2.0	0.0	2.0	1.0	8.0	5.0	ACOT2 229.0
ACOT4	43.75	1.0	2.0	0.0	2.0	2.0	2.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	ACOT4 43.75
ACOT9	1000.0	10.0	7.0	0.0	1.0	7.0	2.0	5.0	0.0	0.0	0.0	1.0	2.0	5.0	ACOT9 1000.0
ACOX2	1.75	4.0	5.0	0.0	0.0	5.0	1.0	4.0	0.0	0.0	0.0	0.0	1.0	4.0	ACOX2 1.75
ACOX3	248.75	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ACOX3 248.75
ACOXL	213.25	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	ACOXL 213.25
ACP5	107.5	3.0	8.0	3.0	2.0	8.0	8.0	0.0	3.0	0.0	2.0	0.0	8.0	0.0	ACP5 107.5
ACP6	331.75	2.0	8.0	0.0	1.0	8.0	8.0	0.0	0.0	0.0	1.0	0.0	8.0	0.0	ACP6 331.75
ACP7	154.75	2.0	5.0	1.0	2.0	5.0	5.0	0.0	1.0	0.0	2.0	0.0	5.0	0.0	ACP7 154.75
ACRBP	27.75	1.0	4.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	ACRBP 27.75
ACRV1	44.5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ACRV1 44.5
ACSBG1	448.75	7.0	14.0	1.0	1.0	14.0	4.0	10.0	1.0	0.0	1.0	0.0	4.0	10.0	ACSBG1 448.75
ACSF2	67.0	1.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	ACSF2 67.0
ACSF3	2466.25	3.0	7.0	2.0	0.0	7.0	7.0	0.0	2.0	0.0	0.0	0.0	7.0	0.0	ACSF3 2466.25
ACSL1	851.5	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	ACSL1 851.5
ACSL5	1340.0	28.0	17.0	2.0	5.0	17.0	5.0	12.0	0.0	2.0	1.0	4.0	5.0	12.0	ACSL5 1340.0
