GeneName	Expression	enhancer_count	ATAC_count	H3K27ac_count	H3K4me3_count	RE_count	ATAC_ABC_count	ATAC_CHiCAGO_count	H3K27ac_ABC_count	H3K27ac_CHiCAGO_count	H3K4me3_ABC_count	H3K4me3_CHiCAGO_count	RE_ABC_count	RE_CHiCAGO_count	GeneName_MeanExpression
PODXL2	2.1666666666666665	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	PODXL2 2.1666666666666665
POF1B	2.1666666666666665	5.0	9.0	0.0	0.0	9.0	9.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	POF1B 2.1666666666666665
POFUT2	135.83333333333334	2.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	POFUT2 135.83333333333334
POLA1	178.83333333333334	1.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	POLA1 178.83333333333334
POLB	553.5	4.0	2.0	2.0	1.0	3.0	2.0	0.0	2.0	0.0	1.0	0.0	3.0	0.0	POLB 553.5
POLD1	154.66666666666666	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	POLD1 154.66666666666666
POLD4	700.0	6.0	6.0	3.0	3.0	8.0	1.0	5.0	2.0	1.0	1.0	2.0	3.0	5.0	POLD4 700.0
POLE2	71.33333333333333	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	POLE2 71.33333333333333
POLG2	680.8333333333334	2.0	2.0	0.0	1.0	2.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	POLG2 680.8333333333334
POLM	568.6666666666666	1.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	POLM 568.6666666666666
POLR2C	1166.5	1.0	4.0	0.0	1.0	4.0	4.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	POLR2C 1166.5
POLR2D	1067.1666666666667	4.0	10.0	2.0	2.0	10.0	4.0	6.0	1.0	1.0	1.0	1.0	5.0	5.0	POLR2D 1067.1666666666667
POLR2E	3577.1666666666665	2.0	2.0	1.0	0.0	3.0	2.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	POLR2E 3577.1666666666665
