baitID	oeID	distance	ABC.Score	score	merged_score
101614	101620	25851	0	33.4783075969954	33.4783075969954
101614	101630	60360	0	11.0543823960297	11.0543823960297
101614	101631	60785	0	25.2466252605741	25.2466252605741
101614	101640	90293	0.022272	10.1152757160748	10.1152757160748
101614	101672	188041	0	6.32348096423947	6.32348096423947
101614	101692	241337	0	8.66451242363496	8.66451242363496
101620	101586	-130128	0	6.31084850736615	6.31084850736615
101620	101587	-124810	0	14.9285248615642	14.9285248615642
101620	101591	-112650	0	5.78785493578843	5.78785493578843
101620	101593	-101786	0	5.42353167720742	5.42353167720742
101620	101596	-85782	0	6.77680042416753	6.77680042416753
101620	101599	-78364	0.008015	14.5396895345677	14.5396895345677
101620	101600	-73262	0.008015	8.04131320470274	8.04131320470274
101620	101600	-73262	0.01817	8.04131320470274	8.04131320470274
101620	101601	-68202	0.009162	6.71890060378582	6.71890060378582
101620	101602	-63092	0	6.2358607424932	6.2358607424932
101620	101611	-33673	0	11.2472132368841	11.2472132368841
101620	101612	-28664	0	16.1371883585058	16.1371883585058
101620	101614	-25851	0	10.6532439666463	10.6532439666463
101620	101615	-23085	0	26.8308694864852	26.8308694864852
101620	101616	-17912	0	13.2441649048019	13.2441649048019
101620	101617	-12793	0	8.57130276280971	8.57130276280971
101620	101618	-7750	0	16.2680167516544	16.2680167516544
101620	101627	30491	0	8.47940904068308	8.47940904068308
101620	101632	37901	0	9.70292306387705	9.70292306387705
101620	101633	43325	0	6.51777217025799	6.51777217025799
101620	101636	60218	0	6.00832932003298	6.00832932003298
101620	101651	96258	0	5.22466235645743	5.22466235645743
101630	101612	-63173	0	10.08951835371	10.08951835371
101630	101615	-57594	0	10.5010949579854	10.5010949579854
101630	101627	-4018	0	5.95700744358829	5.95700744358829
101631	101599	-113298	0.005794	5.9618874102019	5.9618874102019
101631	101612	-63598	0	14.7719647029864	14.7719647029864
101631	101614	-60785	0	12.6342693557069	12.6342693557069
101631	101615	-58019	0	9.64943454194909	9.64943454194909
101631	101616	-52846	0	6.15214298299147	6.15214298299147
101631	101621	-30746	0	6.38320297528919	6.38320297528919
101631	101639	28821	0.04584	0.68903597853383	5.1
101631	101640	29508	0.04584	0.567193645426889	5.1
101631	101641	32403	0.04584	2.73432657644943	5.1
101639	101586	-193883	0	5.55170680804067	5.55170680804067
101639	101611	-97428	0	5.32918983454893	5.32918983454893
101639	101640	963	0.051746	0	5.1
101639	101641	3582	0.051746	1.18279450988288	5.1
101640	101614	-90293	0	7.10149018207857	7.10149018207857
101640	101650	26673	0	7.12343689616122	7.12343689616122
101644	101639	-12769	0.050723	0.528299942876493	5.1
101644	101640	-12082	0.050723	0.353438551844307	5.1
101644	101641	-9187	0.050723	8.79299671825503	8.79299671825503
101653	101639	35592	0.04052	0	5.1
101653	101640	35592	0.04052	0	5.1
101653	101641	-32747	0.04052	0.959434876255194	5.1
101663	101687	59500	0.040814	1.07410679073978	5.1
101663	101688	62867	0.040814	0	5.1
101672	101687	36479	0.057938	0.346755451163742	5.1
101672	101687	36479	0.057331	0.346755451163742	5.1
101672	101688	39309	0.057938	0	5.1
101672	101688	39113	0.057331	0	5.1
101679	101687	20183	0.066072	0.479927580033404	5.1
101679	101688	25489	0.066072	1.87514074594015	5.1
101682	101688	24497	0	6.50762625910869	6.50762625910869
101682	101755	226676	0	7.65849954868601	7.65849954868601
