H3K4me3_count	Gene_Name	Mean_Gene_Expression
0	ASS1	3.25
0	ASTN2	5593.5
0	ASXL3	3.25
0	ASZ1	182.0
0	ATAD2B	1206.5
0	ATAD3C	213.0
0	ATF2	4241.5
0	ATF5	656.0
0	ATF6	1972.5
0	ATG4A	197.5
0	ATG4B	587.25
0	ATL3	2709.75
0	ATOX1	331.5
0	ATP10B	185.5
0	ATP12A	3.5
0	ATP13A2	706.75
0	ATP13A4	35.75
0	ATP13A5	5.75
0	ATP1B2	62.75
0	ATP1B4	143.0
0	ATP2B1	1391.0
0	ATP2B2	23.75
0	ATP2B3	0.25
0	ATP4A	3.25
0	ATP4B	2.5
0	ATP6AP1L	293.5
0	ATP6AP2	1569.75
0	ATP6V0CP3	7.0
0	ATP6V0D1	1605.25
0	ATP6V0D2	119.0
0	ATP6V1B1	3.75
0	ATP6V1H	636.25
0	ATP8A2	57.75
0	ATP8B1	276.0
0	ATP8B4	58.75
0	ATP9A	85.0
0	ATPAF1	597.75
0	ATR	1245.75
0	ATRN	463.0
0	ATRNL1	21.5
0	ATXN10	533.25
0	ATXN2L	5634.25
0	ATXN3	1187.75
0	AUH	267.25
0	AURKAIP1	465.5
0	AURKC	25.25
0	AUTS2	1624.75
0	AWAT1	4.75
0	AXIN2	358.75
0	AXL	84.25
0	AZU1	256.75
0	B3GALNT1	96.0
0	B3GALT1	139.75
0	B3GALT2	136.0
0	B3GALT5	33.0
0	B3GAT1	27.5
0	B3GNT3	10.25
0	B3GNT5	2199.0
0	B3GNT6	81.0
0	B3GNT8	6.0
0	B3GNT9	172.25
0	B4GALNT3	81.5
0	B4GALT5	2562.5
0	B4GALT6	68.25
0	B4GALT7	407.5
0	B9D2	88.75
0	BAALC	11.75
0	BAAT	2.75
0	BACE2	92.5
0	BAGE2	31.75
0	BAIAP3	299.5
0	BAMBI	2.0
0	BANK1	46.5
0	BANP	371.25
0	BARX2	83.0
0	BAZ2B	1329.75
0	BBS4	330.75
0	BBS5	132.5
0	BBS7	247.5
0	BBS9	471.25
0	BCAM	120.25
0	BCAR1	14.0
0	BCAS1	119.5
0	BCAS4	1134.5
0	BCAT1	270.0
0	BCDIN3D	202.5
0	BCKDHB	427.5
0	BCKDK	367.5
0	BCL11A	281.5
0	BCL2A1	249.75
0	BCL2L11	1945.0
0	BCL2L13	1203.5
0	BCL2L14	857.0
0	BCL3	995.0
0	BCL6B	8.5
0	BCO2	170.0
0	BCORL1	637.0
0	BCR	1307.0
0	BDH1	2259.75
0	BDKRB1	39.75
0	BDNF	8.75
0	BECN1	677.0
0	BEGAIN	169.25
0	BEND2	912.75
0	BEND3	345.75
0	BEND3P3	58.75
0	BEND5	10.75
0	BEX1	31.0
0	BEX5	17.75
0	BFSP1	12.0
0	BFSP2	8.0
0	BGN	26.25
0	BHMT	24.25
0	BHMT2	249.25
0	BICC1	0.5
0	BICD2	654.0
0	BICDL1	1804.25
0	BICDL2	9.0
0	BIK	25.0
0	BIN2	2809.5
0	BLCAP	1257.25
0	BLMH	779.5
0	BLNK	5.75
0	BLOC1S2	647.25
0	BLVRA	132.75
0	BMP2K	684.75
0	BMP3	151.25
0	BMP4	4.5
0	BMP6	11.5
0	BMP8A	8.25
0	BMPER	54.0
0	BMS1	4367.0
0	BMX	0.75
0	BNC2	31.75
0	BNIP3	799.25
0	BOD1	324.75
0	BOD1L1	5993.25
0	BOK	3.25
0	BOLL	40.25
0	BPIFB1	126.0
0	BPTF	12220.0
0	BRAF	2512.5
0	BRD3	961.0
0	BRDT	97.5
0	BRICD5	308.5
0	BRIX1	841.0
0	BRWD3	1439.25
0	BST1	301.25
0	BST2	165.5
0	BTBD10	312.75
0	BTBD11	350.75
0	BTBD18	192.75
0	BTBD2	347.0
0	BTBD8	119.5
0	BTBD9	1456.0
0	BTF3	1231.75
0	BTF3L4	2109.25
0	BTG1	2294.25
0	BTK	52.75
0	BTN2A3P	108.0
0	BUB1	525.5
0	C10orf53	80.75
0	C10orf55	5.0
0	C10orf67	40.75
0	C10orf71	1.75
0	C10orf82	835.75
0	C10orf90	0.5
0	C11orf16	2.75
0	C11orf42	15.75
0	C11orf49	376.25
0	C11orf88	113.0
0	C11orf94	9.75
0	C12orf4	764.75
0	C12orf42	66.5
0	C12orf45	4296.5
0	C12orf49	2711.0
0	C12orf54	2.25
0	C12orf65	2381.75
0	C12orf71	16.25
0	C14orf119	410.0
0	C14orf132	97.75
0	C15orf41	533.25
0	C15orf62	68.5
0	C16orf70	1113.75
0	C16orf74	54.75
0	C16orf87	671.5
0	C17orf107	14.25
0	C17orf49	340.75
0	C17orf97	31.25
0	C17orf98	6.0
0	C17orf99	238.0
0	C18orf25	2158.25
0	C18orf32	502.0
