H3K4me3_count	Gene_Name	Mean_Gene_Expression
0	ARL10	1631.25
0	ARL11	124.5
0	ARL14EP	1008.5
0	ARL2BP	449.5
0	ARL4A	181.25
0	ARL4C	4285.25
0	ARL6IP4	942.0
0	ARMC10	2719.75
0	ARMC12	5.25
0	ARMC2	51.25
0	ARMC4	9.5
0	ARMC6	281.25
0	ARMC9	217.25
0	ARMCX5	187.75
0	ARNT2	145.0
0	ARNTL2	1255.25
0	ARPC4	6056.0
0	ARRB1	736.25
0	ARRB2	3380.0
0	ARRDC2	606.75
0	ARSF	13.75
0	ARSG	1103.25
0	AS3MT	733.25
0	ASAH2	145.25
0	ASAP1	5155.5
0	ASAP3	56.25
0	ASB11	85.0
0	ASB14	80.5
0	ASB15	14.5
0	ASB18	166.75
0	ASB9	4.5
0	ASCC3	3797.0
0	ASF1A	1142.5
0	ASGR1	92.25
0	ASGR2	5.25
0	ASIC1	90.25
0	ASIP	4.0
0	ASPA	309.75
0	ASPH	1034.25
0	ASPHD1	49.0
0	ASPHD2	190.75
0	ASS1	3.25
0	ASTL	13.75
0	ASTN2	5593.5
0	ASXL3	3.25
0	ASZ1	182.0
0	ATAD2	1140.75
0	ATAD2B	1206.5
0	ATF1	1400.25
0	ATF2	4241.5
0	ATF3	131.25
0	ATF5	656.0
0	ATF6	1972.5
0	ATF7IP2	729.5
0	ATG4A	197.5
0	ATG4B	587.25
0	ATG7	1251.0
0	ATL3	2709.75
0	ATOX1	331.5
0	ATP10A	1002.75
0	ATP10B	185.5
0	ATP11C	682.25
0	ATP13A2	706.75
0	ATP13A4	35.75
0	ATP1A3	113.75
0	ATP1A4	297.0
0	ATP1B2	62.75
0	ATP1B3	593.5
0	ATP2B1	1391.0
0	ATP2B3	0.25
0	ATP6AP2	1569.75
0	ATP6V0D1	1605.25
0	ATP6V0D2	119.0
0	ATP6V1B1	3.75
0	ATP6V1H	636.25
0	ATP9A	85.0
0	ATPAF1	597.75
0	ATR	1245.75
0	ATRNL1	21.5
0	ATXN2L	5634.25
0	ATXN3	1187.75
0	ATXN7L3B	3132.5
0	AUH	267.25
0	AURKC	25.25
0	AUTS2	1624.75
0	AXIN2	358.75
0	B3GALNT1	96.0
0	B3GALNT2	442.0
0	B3GALT1	139.75
0	B3GALT2	136.0
0	B3GALT5	33.0
0	B3GNT2	492.0
0	B3GNT5	2199.0
0	B3GNT8	6.0
0	B3GNT9	172.25
0	B4GALNT3	81.5
0	B4GALT6	68.25
0	BAALC	11.75
0	BAAT	2.75
0	BAIAP2L1	120.0
0	BAMBI	2.0
0	BANK1	46.5
0	BANP	371.25
0	BAZ2A	6223.5
0	BAZ2B	1329.75
0	BBS1	449.25
0	BBS4	330.75
0	BBS5	132.5
0	BBS7	247.5
0	BBX	1152.25
0	BCAR3	123.5
0	BCAT1	270.0
0	BCDIN3D	202.5
0	BCKDHB	427.5
0	BCL2L13	1203.5
0	BCL2L15	995.0
0	BCL3	995.0
0	BCL6B	8.5
0	BCO2	170.0
0	BCOR	3628.75
0	BCR	1307.0
0	BDH1	2259.75
0	BDKRB1	39.75
0	BDNF	8.75
0	BECN1	677.0
0	BEND3	345.75
0	BEND5	10.75
0	BEND7	70.0
0	BEST3	29.0
0	BEX1	31.0
0	BFSP1	12.0
0	BFSP2	8.0
0	BHMT	24.25
0	BICC1	0.5
0	BICD2	654.0
0	BIRC2	307.0
0	BIRC5	413.5
0	BLCAP	1257.25
0	BLMH	779.5
0	BLNK	5.75
0	BLOC1S2	647.25
0	BLVRA	132.75
0	BMF	227.5
0	BMP2K	684.75
0	BMP4	4.5
0	BMPER	54.0
0	BMPR1B	8.25
0	BMPR2	826.75
0	BMS1	4367.0
0	BMX	0.75
0	BNC2	31.75
0	BNIP2	3431.5
0	BNIPL	187.0
0	BOD1	324.75
0	BOD1L1	5993.25
0	BOLL	40.25
0	BPIFB1	126.0
0	BPTF	12220.0
0	BRAF	2512.5
0	BRCA1	876.75
0	BRDT	97.5
0	BRICD5	308.5
0	BRIX1	841.0
0	BRMS1	470.5
0	BRWD3	1439.25
0	BSG	3355.0
0	BST2	165.5
0	BTBD10	312.75
0	BTBD11	350.75
0	BTBD18	192.75
0	BTBD3	172.75
0	BTBD8	119.5
0	BTBD9	1456.0
0	BTF3	1231.75
0	BTF3L4	2109.25
0	BTG1	2294.25
0	BTK	52.75
0	BTNL8	5.75
0	BUB1	525.5
0	BUD31	657.5
0	BVES	236.5
0	BZW2	1276.0
0	C10orf67	40.75
0	C10orf71	1.75
0	C10orf90	0.5
0	C10orf95	55.5
0	C11orf49	376.25
0	C11orf95	88.5
0	C12orf4	764.75
0	C12orf40	36.0
0	C12orf42	66.5
0	C12orf45	4296.5
0	C12orf49	2711.0
0	C12orf54	2.25
0	C12orf56	2.75
0	C12orf65	2381.75
0	C12orf71	16.25
0	C14orf119	410.0
0	C14orf93	120.75
0	C15orf39	1697.5
0	C15orf41	533.25
0	C15orf62	68.5
0	C16orf70	1113.75
0	C16orf74	54.75
0	C16orf87	671.5
0	C17orf49	340.75
0	C17orf50	4.5
0	C17orf58	143.25
0	C17orf97	31.25
0	C17orf98	6.0
0	C18orf25	2158.25
0	C18orf32	502.0
0	C19orf18	3.25
0	C19orf48	1001.25
0	C1GALT1	704.0
0	C1orf100	25.75
0	C1orf105	1.75
0	C1orf116	3.25
0	C1orf141	17.0
0	C1orf158	110.75
0	C1orf159	185.25
0	C1orf174	1514.5
0	C1orf198	127.5
0	C1orf216	276.75
0	C1orf54	32.25
0	C1QL3	40.75
0	C1QTNF2	45.0
0	C1QTNF3	114.25
0	C1QTNF6	438.0
0	C1QTNF7	18.0
0	C1QTNF9	30.5
0	C1R	124.25
0	C1S	67.25
0	C2	282.0
0	C21orf62	4.5
0	C22orf23	79.5
0	C22orf46	61.0
0	C2CD4A	209.0
0	C2CD4D	29.25
0	C2orf42	357.5
0	C2orf49	432.0
0	C2orf80	35.25
0	C2orf88	65.0
0	C3AR1	59.5
0	C3orf14	25.5
0	C3orf20	9.5
0	C3orf49	35.5
0	C3orf62	815.25
0	C3orf67	119.25
0	C4orf17	8.0
0	C4orf19	138.75
0	C4orf33	47.0
0	C4orf45	1.25
0	C4orf47	0.5
0	C5orf58	70.25
0	C5orf63	135.0
0	C6orf141	271.25
0	C6orf223	2.25
0	C6orf226	13.75
0	C6orf47	423.0
0	C6orf62	2045.5
0	C7	92.75
0	C7orf26	818.0
0	C7orf31	100.25
0	C8orf34	632.0
0	C8orf44	287.5
0	C8orf88	2.0
0	C9orf131	142.0
