ATAC_count	Gene_Name	Mean_Gene_Expression
0	CRISPLD1	2.5
0	CRKL	6310.0
0	CRX	742.5
0	CSDC2	9.0
0	CSMD1	17.0
0	CSMD3	236.75
0	CSNK1E	1629.75
0	CSNK1G1	1719.5
0	CSNK2A1	5558.75
0	CSNK2A3	5.0
0	CSRNP3	9.0
0	CTBP2	293.0
0	CTCFL	358.5
0	CTNNA1	452.75
0	CTNNA2	33.0
0	CTNNBIP1	30.25
0	CTNND2	7.25
0	CTNS	278.75
0	CTRB1	23.5
0	CTSK	145.75
0	CTSV	151.5
0	CTTNBP2NL	123.75
0	CUZD1	17.25
0	CXCL10	19.75
0	CXCL11	9.0
0	CXCL8	8.5
0	CXCR2	52.25
0	CXCR3	1442.25
0	CYB5R3	4577.75
0	CYB5RL	1107.75
0	CYBB	8.5
0	CYFIP1	246.5
0	CYGB	7.0
0	CYP2C19	97.5
0	CYP2C8	10.0
0	CYP2C9	42.5
0	CYP3A4	47.5
0	CYP4V2	2084.0
0	CYP51A1	2367.25
0	CYP7B1	1.25
0	CYSTM1	243.25
0	CYTH3	104.5
0	DAAM2	238.5
0	DAB1	11.0
0	DAB2IP	2.0
0	DACH2	39.0
0	DACT1	217.5
0	DAP3	1382.0
0	DAPK1	99.75
0	DAPL1	78.0
0	DAW1	75.75
0	DCAF10	2345.0
0	DCAF8L2	2.25
0	DCHS2	63.25
0	DCLK1	30.75
0	DCLK2	16.5
0	DCN	133.25
0	DCP1B	796.75
0	DCT	6.0
0	DCTN3	491.0
0	DCUN1D2	983.75
0	DCX	32.75
0	DDOST	2046.75
0	DDR2	53.75
0	DDX3X	25454.5
0	DDX46	5788.0
0	DDX50	703.25
0	DDX60	195.25
0	DDX60L	982.75
0	DEFA3	17.0
0	DENND1A	450.5
0	DENND2A	342.75
0	DENND5B	115.25
0	DENND6A	975.0
0	DEPDC4	322.0
0	DGKB	184.5
0	DGKG	32.0
0	DHCR24	867.0
0	DHCR7	298.0
0	DHRS9	88.25
0	DHX32	322.5
0	DIABLO	1424.25
0	DICER1	9749.0
0	DIO2	37.75
0	DIRAS2	388.5
0	DISP2	587.5
0	DIXDC1	862.0
0	DKC1	4319.5
0	DLC1	115.75
0	DLEU7	27.25
0	DLG3	344.75
0	DLGAP1	46.75
0	DMD	897.5
0	DNA2	305.0
0	DNAH11	92.0
0	DNAH14	361.0
0	DNAH5	1.0
0	DNAJB1	1673.75
0	DNAJB5	100.25
0	DNAJB7	126.0
0	DNAJC16	1002.5
0	DNAJC8	1235.0
0	DNAJC9	735.0
0	DNAL1	1423.0
0	DND1	31.5
0	DOCK1	55.0
0	DOCK4	66.75
0	DOCK5	2971.25
0	DOCK7	3283.5
0	DOK2	416.0
0	DPP10	25.0
0	DPP8	1535.0
0	DPY19L1	287.5
0	DPY19L2	71.0
0	DPY19L4	775.75
0	DPYD	1425.75
0	DSC1	64.0
0	DSG3	212.75
0	DTNA	168.75
0	DTNBP1	546.5
0	DTX3	284.75
0	DUSP28	751.5
0	DUXA	18.0
0	DUXB	20.5
0	DYNC1I1	22.75
0	DYNC2H1	40.0
0	DZIP1	35.75
0	E2F1	459.25
0	E2F8	31.5
0	EBF1	1.0
0	ECM2	190.75
0	ECT2L	12.5
0	EDA	60.25
0	EDEM3	1530.5
0	EDN1	7.0
0	EEF1AKMT1	64.75
0	EEF1D	6626.25
0	EFCAB1	3.5
0	EFCAB12	220.25
0	EFCAB3	47.5
0	EFNB1	211.75
0	EFR3B	116.75
0	EGF	9.75
0	EHBP1	947.0
0	EIF2AK2	1374.0
0	EIF2S3	5163.25
0	EIF3D	2328.0
0	EIF3M	2060.75
0	EIF5A2	631.75
0	ELANE	2.25
0	ELAVL2	51.25
0	ELF3	102.25
0	ELF5	79.75
0	ELL3	37.0
0	ELMOD2	103.5
0	ELOVL7	172.25
0	ELP2	1189.75
0	EMCN	87.75
0	EML5	186.0
0	ENAH	663.0
0	ENO1	6789.75
0	ENPP5	27.0
0	ENPP6	95.75
0	ENTPD3	10.5
0	EP400	2622.0
0	EPN1	2854.75
0	ERC2	4.25
0	ERG	8.5
0	ERGIC3	2330.25
0	ERLIN1	1205.5
0	ERMAP	629.75
0	ESR2	561.0
0	ESRP1	43.5
0	ESRP2	407.75
0	ESRRG	47.0
0	ETAA1	368.75
0	ETFB	1063.25
0	ETV1	0.5
0	EVI5	1032.0
0	EXOC6	579.0
0	EXT2	562.25
0	EYA1	170.5
0	EYS	939.25
0	F3	252.0
0	FABP7	37.25
0	FADD	359.25
0	FAH	298.75
0	FAM120C	1468.5
0	FAM122A	366.75
0	FAM135B	16.0
0	FAM13C	4.25
0	FAM155A	46.25
0	FAM160A1	7.5
0	FAM166B	4.75
0	FAM172A	451.0
0	FAM180B	203.0
0	FAM186B	117.0
0	FAM189A2	2.25
0	FAM209B	11.25
0	FAM218A	12.75
0	FAM228A	6.75
0	FAM47E-STBD1	55.5
0	FAM53A	14.5
0	FAM78B	7.25
0	FAM81A	8.0
0	FAM81B	3.25
0	FAM83A	16.25
0	FAM98A	1608.0
0	FANCB	29.0
0	FANCG	426.5
0	FANCL	115.0
0	FANK1	57.0
0	FARP2	1271.75
0	FAT1	18.0
0	FAT4	0.75
0	FAU	4831.25
0	FAXC	396.25
