RE_count	Gene_Name	Mean_Gene_Expression
0	CC2D1B	1274.8333333333333
0	CCDC136	55.16666666666666
0	CCDC138	300.3333333333333
0	CCDC14	555.1666666666666
0	CCDC150	158.5
0	CCDC171	443.3333333333333
0	CCDC180	398.0
0	CCDC186	972.8333333333334
0	CCDC47	875.5
0	CCDC62	68.5
0	CCDC92	43.0
0	CCL15	5.666666666666667
0	CCL3	26.666666666666668
0	CCL3L3	2.0
0	CCNB2	26.83333333333333
0	CCNT2	1686.1666666666667
0	CCSAP	440.1666666666667
0	CD163	74.33333333333333
0	CD68	72.33333333333333
0	CD86	4.166666666666667
0	CDC23	1371.1666666666667
0	CDC37L1	295.1666666666667
0	CDCA7	45.833333333333336
0	CDH1	196.83333333333331
0	CDH8	123.33333333333331
0	CDHR4	174.66666666666666
0	CDK15	3.1666666666666665
0	CDK20	55.0
0	CDYL	459.0
0	CEACAM3	12.666666666666666
0	CENPBD1	418.0
0	CENPP	310.8333333333333
0	CENPW	94.83333333333331
0	CEP126	189.83333333333331
0	CEP131	12.666666666666666
0	CEP192	691.5
0	CEP250	1005.8333333333334
0	CEP63	1487.5
0	CEP76	257.1666666666667
0	CFAP43	1.5
0	CFAP44	178.83333333333334
0	CFAP69	213.0
0	CFB	4.0
0	CFHR3	8.833333333333334
0	CHAMP1	247.16666666666663
0	CHCHD6	171.16666666666666
0	CHD1	2440.833333333333
0	CHERP	167.0
0	CHID1	1272.8333333333333
0	CHST10	113.0
0	CHST4	0.3333333333333333
0	CHURC1-FNTB	293.5
0	CIART	47.833333333333336
0	CIT	29.166666666666668
0	CLEC1A	13.833333333333334
0	CLHC1	129.0
0	CLIC4	4.166666666666667
0	CLIP1	1960.8333333333333
0	CLTC	2198.6666666666665
0	CMTR2	366.3333333333333
0	CNN3	13.666666666666666
0	CNOT6	499.1666666666667
0	CNOT7	2623.0
0	COBL	15.0
0	COBLL1	67.33333333333333
0	COG7	551.8333333333334
0	COL10A1	0.5
0	COL19A1	35.166666666666664
0	COMMD2	1964.5
0	COQ6	895.5
0	CORIN	70.33333333333333
0	COX5A	282.6666666666667
0	COX6C	5034.5
0	COX7C	4491.5
0	COX8A	2712.6666666666665
0	CPEB3	129.0
0	CPNE3	5322.5
0	CPQ	282.5
0	CPSF2	2594.1666666666665
0	CREB5	37.0
0	CREBBP	3027.6666666666665
0	CRIP3	0.5
0	CRISPLD1	43.333333333333336
0	CRKL	1419.6666666666667
0	CRNKL1	1266.5
0	CRX	184.5
0	CSMD1	8.666666666666666
0	CSNK1G1	1172.1666666666667
0	CSTB	805.6666666666666
0	CT55	2.0
0	CTNNA1	214.66666666666663
0	CTNNBIP1	118.0
0	CTPS1	544.0
0	CTU1	4.5
0	CUL4B	390.1666666666667
0	CWC22	1119.6666666666667
0	CWF19L2	806.8333333333334
0	CXCR3	181.0
0	CXorf21	362.3333333333333
0	CXorf56	573.8333333333334
0	CYBB	16.166666666666668
0	CYP2B6	30.166666666666668
0	CYP3A43	102.66666666666669
0	CYP3A5	750.1666666666666
0	CYP4V2	651.0
0	CYP51A1	913.8333333333334
0	DAB2	13.166666666666666
0	DACH2	4.0
0	DACT1	0.3333333333333333
0	DAP3	2794.0
0	DAPK2	477.1666666666667
0	DBNL	6075.666666666667
0	DBP	298.1666666666667
