H3K4me3_count	Gene_Name	Mean_Gene_Expression
0	CYP3A43	565.5
0	CYP3A5	1980.25
0	CYP4A11	64.0
0	CYP4F22	5.0
0	CYP4F29P	19.25
0	CYP4F35P	16.75
0	CYP7B1	1.25
0	CYSLTR1	2300.75
0	D2HGDH	488.25
0	DAAM1	802.75
0	DAAM2	238.5
0	DAB2	51.75
0	DAB2IP	2.0
0	DACH1	14.5
0	DACH2	39.0
0	DACT1	217.5
0	DACT3	700.5
0	DAGLA	32.0
0	DAGLB	788.0
0	DAPK1	99.75
0	DAPK2	523.5
0	DAW1	75.75
0	DAXX	1957.25
0	DBH	28.5
0	DCAF10	2345.0
0	DCAF13P3	15.25
0	DCAF15	581.5
0	DCAF8L2	2.25
0	DCBLD2	120.75
0	DCHS2	63.25
0	DCLRE1CP1	2.0
0	DCN	133.25
0	DCTD	648.0
0	DCUN1D2	983.75
0	DCX	32.75
0	DCXR	609.75
0	DDIT4L	1.25
0	DDO	24.0
0	DDR2	53.75
0	DDX10	1850.25
0	DDX11L1	5.5
0	DDX11L9	9.25
0	DDX12P	66.75
0	DDX28	160.75
0	DDX31	650.5
0	DDX4	7.0
0	DDX43	63.25
0	DECR2	163.25
0	DEDD2	1106.5
0	DEF8	366.0
0	DEFA3	17.0
0	DEGS2	340.0
0	DENND1A	450.5
0	DENND1C	3908.5
0	DENND3	569.5
0	DENND5A	937.5
0	DENND6B	62.5
0	DEPDC7	52.25
0	DEXI	403.5
0	DFFA	1849.0
0	DGAT1	1197.75
0	DGAT2	104.0
0	DGKB	184.5
0	DGKD	2448.0
0	DGKH	1825.0
0	DHDDS	1136.75
0	DHRS9	88.25
0	DHRSX	437.5
0	DHX15	4913.75
0	DHX33	3381.25
0	DHX58	151.25
0	DIAPH2	473.5
0	DIO1	18.5
0	DIP2B	3250.75
0	DIRAS2	388.5
0	DIS3L	1116.25
0	DISP2	587.5
0	DKK3	47.0
0	DLC1	115.75
0	DLG5	155.0
0	DLGAP1	46.75
0	DLGAP3	5.5
0	DLSTP1	72.75
0	DMAP1	631.0
0	DMBX1	41.5
0	DMC1	1423.25
0	DMKN	69.25
0	DMPK	178.5
0	DMRT1	11.75
0	DMTN	382.0
0	DMWD	435.25
0	DMXL2	321.25
0	DNAAF5	669.75
0	DNAH1	2079.75
0	DNAH10	36.25
0	DNAH17	113.0
0	DNAH9	123.25
0	DNAI2	13.0
0	DNAJB1	1673.75
0	DNAJB13	95.25
0	DNAJB5	100.25
0	DNAJB6	1928.75
0	DNAJC11	1574.5
0	DNAJC16	1002.5
0	DNAJC22	331.0
0	DNAJC27	103.25
0	DNAJC8	1235.0
0	DNAL1	1423.0
0	DNM1L	2107.5
0	DNM2	2362.25
0	DNMT1	4462.0
0	DNMT3B	39.75
0	DNPH1	456.75
0	DOC2B	80.0
0	DOCK5	2971.25
