H3K4me3_count	Gene_Name	Mean_Gene_Expression
0	BEND3	345.75
0	BEND3P3	58.75
0	BEND6	25.5
0	BEND7	70.0
0	BEST1	461.5
0	BEST3	29.0
0	BEX1	31.0
0	BEX3	36.75
0	BEX5	17.75
0	BFSP1	12.0
0	BGLAP	30.25
0	BGN	26.25
0	BHLHB9	126.25
0	BICD2	654.0
0	BID	623.75
0	BIK	25.0
0	BIN2	2809.5
0	BIRC6-AS2	23.75
0	BLCAP	1257.25
0	BLK	29.0
0	BLM	491.5
0	BLMH	779.5
0	BLNK	5.75
0	BLOC1S2	647.25
0	BLVRA	132.75
0	BLVRB	122.0
0	BMF	227.5
0	BMP3	151.25
0	BMP4	4.5
0	BMP6	11.5
0	BMP8A	8.25
0	BMP8B	135.5
0	BMPER	54.0
0	BMPR1B	8.25
0	BNC2	31.75
0	BNIP3	799.25
0	BOD1	324.75
0	BPTF	12220.0
0	BRAF	2512.5
0	BRD7	4755.25
0	BRDT	97.5
0	BRF1	622.5
0	BRMS1L	62.0
0	BRWD3	1439.25
0	BST1	301.25
0	BST2	165.5
0	BTBD18	192.75
0	BTBD2	347.0
0	BTBD3	172.75
0	BTBD9	1456.0
0	BTG1	2294.25
0	BTNL10	5.75
0	BTNL8	5.75
0	BTNL9	219.0
0	BUB1	525.5
0	C10orf53	80.75
0	C10orf67	40.75
0	C10orf71	1.75
0	C10orf82	835.75
0	C11orf16	2.75
0	C11orf42	15.75
0	C11orf49	376.25
0	C11orf58	2277.25
0	C11orf88	113.0
0	C11orf94	9.75
0	C12orf4	764.75
0	C12orf42	66.5
0	C12orf43	1195.75
0	C14orf132	97.75
0	C16orf74	54.75
0	C16orf96	9.0
0	C17orf49	340.75
0	C17orf97	31.25
0	C17orf98	6.0
0	C18orf25	2158.25
0	C19orf12	646.5
0	C19orf54	399.25
0	C19orf71	26.0
0	C1GALT1	704.0
0	C1orf105	1.75
0	C1orf109	472.0
0	C1orf116	3.25
0	C1orf141	17.0
0	C1orf146	8.5
0	C1orf159	185.25
0	C1orf174	1514.5
0	C1orf21	66.75
0	C1orf210	166.5
0	C1orf216	276.75
0	C1orf87	1.25
0	C1QTNF1	6.25
0	C1QTNF12	5.75
0	C1QTNF2	45.0
0	C1QTNF3	114.25
0	C1QTNF3-AMACR	47.25
0	C1QTNF7	18.0
0	C20orf144	144.5
0	C20orf202	8.5
0	C20orf203	58.5
0	C21orf62	4.5
0	C22orf15	48.25
0	C22orf46	61.0
0	C2CD4D	29.25
0	C2orf66	15.75
0	C2orf83	430.0
0	C3	928.25
0	C3orf20	9.5
0	C3orf52	80.25
0	C3orf70	117.5
0	C4orf17	8.0
0	C4orf19	138.75
0	C5orf15	1161.0
0	C5orf58	70.25
0	C5orf63	135.0
0	C6orf141	271.25
0	C6orf163	296.5
0	C7orf26	818.0
0	C7orf31	100.25
0	C7orf50	257.25
0	C7orf61	21.0
0	C8orf33	865.25
0	C8orf34	632.0
0	C8orf49	12.75
0	C8orf58	59.75
0	C8orf74	6.0
0	C8orf88	2.0
0	C9orf131	142.0
0	C9orf152	2.25
0	C9orf153	36.0
0	CA11	106.5
0	CA12	25.75
0	CA13	192.75
0	CA2	6.25
0	CA8	15.25
0	CAB39L	48.5
0	CABLES1	103.75
0	CABLES2	294.25
0	CABP7	35.75
0	CACFD1	82.75
0	CACNA1B	4.25
0	CACNA1D	326.0
0	CACNA1F	41.75
0	CACNA1G	19.5
0	CACNA1I	187.75
0	CACNB4	321.75
0	CALCB	11.5
0	CALHM1	12.25
0	CALHM2	153.0
0	CALML4	125.25
0	CALN1	79.75
0	CAMK1	774.25
0	CAMK2G	1531.5
0	CAMK2N1	126.0
0	CAMKV	15.0
0	CANT1	425.25
0	CAPN14	15.25
0	CAPN5	133.25
0	CAPS	744.5
0	CARD11	1330.25
0	CARD16	85.75
0	CARD18	63.0
0	CARD19	490.75
0	CASC3	8658.5
0	CASKIN1	5.75
0	CASP1	317.0
0	CASP8AP2	781.75
0	CASZ1	500.0
0	CATSPER3	11.0
0	CATSPERB	281.75
0	CBFA2T2	1855.5
0	CBL	5055.75
0	CBLB	2504.5
0	CBLL1	3804.25
0	CBR1	304.75
0	CBWD2	1400.5
0	CBX2	45.75
0	CBX4	359.75
0	CBX8	13.75
0	CC2D2A	839.75
0	CC2D2B	52.75
0	CCBE1	285.5
0	CCDC102A	36.75
0	CCDC102B	40.25
0	CCDC117	1924.25
0	CCDC120	419.0
0	CCDC126	162.75
0	CCDC134	61.5
0	CCDC137	1716.25
0	CCDC141	821.25
0	CCDC144A	842.25
0	CCDC144NL	7.75
0	CCDC146	82.0
0	CCDC151	15.25
0	CCDC154	7.75
0	CCDC167	211.25
0	CCDC168	19.0
0	CCDC17	165.75
0	CCDC171	284.5
0	CCDC172	3.25
0	CCDC180	857.0
0	CCDC188	11.5
0	CCDC22	304.25
0	CCDC24	129.5
0	CCDC28A	140.75
0	CCDC30	964.0
0	CCDC57	915.0
0	CCDC71L	197.75
0	CCDC73	1.25
0	CCDC74B	2.5
0	CCDC83	12.0
0	CCDC88B	946.5
0	CCDC96	27.75
0	CCL15	14.75
0	CCL17	17.75
0	CCL19	5.0
0	CCL20	361.0
0	CCL22	494.5
0	CCL3	4627.0
0	CCL3L3	380.75
0	CCL4	4073.5
0	CCL4L2	425.0
0	CCL5	8313.5
0	CCND3	6089.25
0	CCNE2	102.0
0	CCNF	235.25
0	CCNJL	345.25
0	CCNYL1	1029.75
0	CCNYL2	39.5
0	CCR1	52.25
0	CCR2	95.75
0	CCR3	47.75
0	CCR4	3127.0
0	CCR6	298.5
0	CCR8	42.5
0	CCR9	75.75
0	CCRL2	40.0
0	CCSAP	393.25
0	CCSER1	60.75
0	CCSER2	4883.5
0	CCT2	4420.5
0	CCT6P1	178.0
0	CD109	894.75
0	CD160	214.0
0	CD19	2.0
0	CD209	68.25
0	CD226	4638.0
0	CD244	100.25
0	CD274	1564.5
0	CD276	52.0
0	CD300LB	4.75
0	CD34	166.25
0	CD36	172.75
0	CD37	2238.0
0	CD40	62.75
0	CD47	5966.75
0	CD55	5221.5
0	CD59	614.0
0	CD70	9.5
0	CD80	48.5
0	CD86	16.25
0	CD8A	29.75
0	CD8B	7.5
0	CD9	4.5
0	CD93	85.5
0	CD96	3771.75
0	CD99L2	213.0
