H3K27ac_count	Gene_Name	Mean_Gene_Expression
0	B3GALT4	39.75
0	B3GALT5	33.0
0	B3GNT2	492.0
0	B3GNT5	2199.0
0	B3GNT8	6.0
0	B3GNT9	172.25
0	B4GALNT1	26.25
0	B4GALNT3	81.5
0	B4GALT6	68.25
0	BAALC	11.75
0	BAAT	2.75
0	BAG2	523.0
0	BAIAP2L1	120.0
0	BAMBI	2.0
0	BANK1	46.5
0	BANP	371.25
0	BARD1	402.25
0	BATF	588.0
0	BAZ2A	6223.5
0	BAZ2B	1329.75
0	BBS1	449.25
0	BBS12	26.0
0	BBS4	330.75
0	BBS5	132.5
0	BBS7	247.5
0	BBX	1152.25
0	BCAP29	422.0
0	BCAP31	567.0
0	BCAR3	123.5
0	BCAT1	270.0
0	BCDIN3D	202.5
0	BCKDHA	145.75
0	BCKDHB	427.5
0	BCL10	542.5
0	BCL2L1	1270.0
0	BCL2L10	5.5
0	BCL2L13	1203.5
0	BCL2L15	995.0
0	BCL2L2	30.0
0	BCL3	995.0
0	BCL6	1188.75
0	BCL6B	8.5
0	BCL9	2071.75
0	BCL9L	12424.5
0	BCLAF1	10769.0
0	BCO2	170.0
0	BCOR	3628.75
0	BCR	1307.0
0	BDH1	2259.75
0	BDH2	90.0
0	BDKRB1	39.75
0	BDNF	8.75
0	BDP1	3254.5
0	BECN1	677.0
0	BEND3	345.75
0	BEND5	10.75
0	BEND6	25.5
0	BEND7	70.0
0	BEST1	461.5
0	BEST3	29.0
0	BEX1	31.0
0	BEX2	548.0
0	BFAR	2018.25
0	BFSP1	12.0
0	BFSP2	8.0
0	BHMT	24.25
0	BICC1	0.5
0	BICD2	654.0
0	BIRC2	307.0
0	BIRC5	413.5
0	BLCAP	1257.25
0	BLM	491.5
0	BLNK	5.75
0	BLOC1S2	647.25
0	BLOC1S6	31199.0
0	BLVRA	132.75
0	BMF	227.5
0	BMP2K	684.75
0	BMP4	4.5
0	BMPER	54.0
0	BMPR1B	8.25
0	BMPR2	826.75
0	BMS1	4367.0
0	BMX	0.75
0	BNC2	31.75
0	BNIP1	63.25
0	BNIP2	3431.5
0	BNIP3L	461.5
0	BNIPL	187.0
0	BOD1	324.75
0	BOD1L1	5993.25
0	BOLA1	44.5
0	BOLL	40.25
0	BORCS7	1975.25
0	BPIFB1	126.0
0	BPTF	12220.0
0	BRAF	2512.5
0	BRCA1	876.75
0	BRD1	1632.0
0	BRD4	10015.5
0	BRDT	97.5
0	BRF1	622.5
0	BRF2	133.25
0	BRICD5	308.5
0	BRIX1	841.0
0	BRK1	931.0
0	BRMS1	470.5
0	BRMS1L	62.0
0	BRPF1	1060.25
0	BRWD1	2771.0
0	BRWD3	1439.25
0	BSCL2	96.0
0	BSG	3355.0
0	BST2	165.5
0	BTBD10	312.75
0	BTBD11	350.75
0	BTBD18	192.75
0	BTBD3	172.75
0	BTBD8	119.5
0	BTBD9	1456.0
0	BTF3	1231.75
0	BTF3L4	2109.25
0	BTK	52.75
0	BTLA	346.75
0	BTN1A1	3.5
0	BTN2A1	603.0
0	BTNL8	5.75
0	BUB1	525.5
0	BUB1B	391.25
0	BUD31	657.5
0	BVES	236.5
0	BZW2	1276.0
0	C10orf105	10.0
0	C10orf67	40.75
0	C10orf71	1.75
0	C10orf90	0.5
0	C10orf95	55.5
0	C11orf1	329.0
0	C11orf24	732.0
0	C11orf49	376.25
0	C11orf58	2277.25
0	C11orf95	88.5
0	C12orf10	767.5
0	C12orf29	569.25
0	C12orf4	764.75
0	C12orf40	36.0
0	C12orf42	66.5
0	C12orf45	4296.5
0	C12orf49	2711.0
0	C12orf50	525.5
0	C12orf54	2.25
0	C12orf56	2.75
0	C12orf57	475.5
0	C12orf65	2381.75
0	C12orf66	514.25
0	C12orf71	16.25
0	C14orf119	410.0
0	C14orf93	120.75
0	C15orf39	1697.5
0	C15orf40	2090.5
0	C15orf41	533.25
0	C15orf61	167.75
0	C15orf62	68.5
0	C16orf46	1.75
0	C16orf58	698.75
0	C16orf70	1113.75
0	C16orf74	54.75
0	C16orf87	671.5
0	C17orf49	340.75
0	C17orf50	4.5
0	C17orf58	143.25
0	C17orf78	5.5
0	C17orf97	31.25
0	C17orf98	6.0
0	C18orf21	734.25
0	C18orf25	2158.25
0	C18orf32	502.0
0	C19orf18	3.25
0	C19orf48	1001.25
0	C19orf54	399.25
0	C1GALT1	704.0
0	C1orf100	25.75
0	C1orf105	1.75
0	C1orf116	3.25
0	C1orf141	17.0
0	C1orf158	110.75
0	C1orf159	185.25
0	C1orf162	322.25
0	C1orf174	1514.5
0	C1orf198	127.5
0	C1orf216	276.75
0	C1orf52	521.0
0	C1orf54	32.25
0	C1orf61	335.25
0	C1orf74	116.75
0	C1QL3	40.75
0	C1QTNF1	6.25
0	C1QTNF2	45.0
0	C1QTNF3	114.25
0	C1QTNF7	18.0
0	C1QTNF9	30.5
0	C1QTNF9B	1.25
0	C1R	124.25
0	C1RL	452.25
0	C1S	67.25
0	C2	282.0
0	C21orf62	4.5
0	C21orf91	862.25
0	C22orf23	79.5
0	C22orf46	61.0
0	C2CD4A	209.0
0	C2CD4D	29.25
0	C2CD5	1483.25
0	C2orf42	357.5
0	C2orf49	432.0
0	C2orf69	337.5
0	C2orf80	35.25
0	C2orf88	65.0
0	C3AR1	59.5
0	C3orf14	25.5
0	C3orf20	9.5
0	C3orf49	35.5
0	C3orf62	815.25
0	C3orf67	119.25
0	C4BPA	10.5
0	C4BPB	804.25
0	C4orf17	8.0
0	C4orf19	138.75
0	C4orf3	774.75
0	C4orf33	47.0
0	C4orf45	1.25
0	C4orf47	0.5
0	C5orf58	70.25
0	C5orf63	135.0
0	C6orf141	271.25
0	C6orf223	2.25
0	C6orf226	13.75
0	C6orf47	423.0
0	C6orf62	2045.5
0	C7	92.75
0	C7orf26	818.0
0	C7orf31	100.25
0	C7orf57	12.75
0	C7orf61	21.0
0	C8orf34	632.0
0	C8orf37	201.25
0	C8orf44	287.5
0	C8orf88	2.0
0	C9orf131	142.0
0	C9orf152	2.25
0	C9orf24	34.5
0	C9orf64	856.75
0	CA1	43.75
0	CA3	0.25
0	CA5A	0.5
0	CA6	455.25
0	CA8	15.25
0	CAAP1	496.75
0	CAB39	4209.5
0	CAB39L	48.5
0	CABIN1	1982.25
0	CABLES1	103.75
0	CABP1	19.0
0	CABYR	159.0
0	CACFD1	82.75
0	CACHD1	129.25
0	CACNA1A	1999.75
0	CACNA1D	326.0
0	CACNA1H	52.0
0	CACNA2D4	94.5
0	CACNB2	419.75
0	CACNB4	321.75
0	CACUL1	1843.5
0	CADPS	319.0
0	CALCOCO1	2369.5
0	CALCOCO2	2639.75
0	CALCRL	275.0
0	CALN1	79.75
0	CALU	1455.0
0	CAMK1G	3.75
0	CAMK2B	4.5
0	CAMK2D	4417.25
0	CAMK2G	1531.5
0	CAMK4	7156.25
0	CAMSAP1	2815.75
0	CAMSAP2	217.0
0	CAMTA1	256.75
0	CAMTA2	1745.5
0	CAND1	3020.5
0	CANX	38732.0
0	CAP2	2.0
0	CAPG	73.75
0	CAPN14	15.25
0	CAPN2	2451.75
0	CAPN3	215.5
0	CAPN7	889.75
0	CAPN8	6.0
0	CAPRIN2	589.5
0	CAPS	744.5
0	CAPS2	188.25
0	CAPSL	1.5
0	CARD11	1330.25
0	CARD16	85.75
0	CARD18	63.0
0	CARD8	2802.25
0	CARHSP1	1055.25
0	CARNMT1	720.5
0	CASC4	3505.25
0	CASK	2992.75
0	CASP1	317.0
0	CASP10	1189.5
0	CASP4	860.0
0	CASP8AP2	781.75
0	CASP9	169.75
0	CAST	2831.25
0	CAT	396.0
0	CATIP	357.25
0	CATSPERB	281.75
0	CATSPERG	367.25
0	CAV1	1.5
0	CAV3	4.25
0	CBFB	8301.0
0	CBL	5055.75
0	CBLL1	3804.25
0	CBX1	4638.0
0	CBX2	45.75
0	CBX3	2089.75
0	CBX5	9723.0
0	CBX8	13.75
0	CC2D1B	1667.0
0	CC2D2B	52.75
0	CCAR1	5668.0
0	CCDC106	19.25
0	CCDC112	42.25
0	CCDC113	125.75
0	CCDC117	1924.25
0	CCDC120	419.0
0	CCDC124	230.5
0	CCDC125	1875.25
0	CCDC130	578.5
0	CCDC136	175.0
0	CCDC138	258.25
0	CCDC14	1734.25
0	CCDC141	821.25
0	CCDC142	415.0
0	CCDC146	82.0
0	CCDC15	63.75
0	CCDC150	458.25
0	CCDC158	311.0
0	CCDC159	310.25
0	CCDC171	284.5
0	CCDC172	3.25
0	CCDC175	0.5
0	CCDC18	165.0
0	CCDC180	857.0
0	CCDC181	13.0
0	CCDC183	86.0
0	CCDC186	1858.75
0	CCDC192	9.5
0	CCDC28A	140.75
0	CCDC28B	236.0
0	CCDC33	0.25
0	CCDC34	408.75
0	CCDC47	2507.25
0	CCDC65	81.5
0	CCDC68	0.5
0	CCDC73	1.25
0	CCDC77	160.5
0	CCDC80	183.75
0	CCDC81	222.75
0	CCDC83	12.0
0	CCDC85C	1027.75
0	CCDC86	2705.5
0	CCDC88A	2378.25
0	CCDC89	10.25
0	CCDC9	549.5
0	CCDC91	2234.5
0	CCDC92	1044.5
0	CCDC97	1144.75
0	CCHCR1	120.75
0	CCL15	14.75
0	CCL16	479.5
0	CCL2	4.5
0	CCL27	93.75
0	CCL3	4627.0
0	CCL3L3	380.75
0	CCL4	4073.5
0	CCL4L2	425.0
0	CCL5	8313.5
0	CCNB1	104.5
0	CCNB3	20.25
0	CCND1	275.0
0	CCND3	6089.25
0	CCNE2	102.0
0	CCNI	4186.75
0	CCNJL	345.25
0	CCNT1	1542.0
0	CCNT2	1957.25
0	CCNY	2114.5
0	CCNYL1	1029.75
0	CCP110	1099.75
0	CCPG1	2031.75
0	CCR1	52.25
0	CCR10	37.75
0	CCR2	95.75
0	CCR3	47.75
0	CCR4	3127.0
0	CCR5	391.0
0	CCR6	298.5
0	CCR8	42.5
0	CCRL2	40.0
0	CCT3	4821.5
0	CCT7	3640.0
0	CD101	116.25
0	CD109	894.75
0	CD14	23.75
0	CD160	214.0
0	CD163	303.25
0	CD180	69.5
0	CD1C	6.25
0	CD200	1146.75
0	CD200R1	368.75
0	CD22	655.75
0	CD226	4638.0
0	CD244	100.25
0	CD274	1564.5
0	CD276	52.0
0	CD300A	154.0
0	CD300E	64.5
0	CD300LB	4.75
0	CD300LD	39.25
0	CD300LF	7.5
0	CD320	608.25
0	CD34	166.25
0	CD36	172.75
0	CD38	947.0
0	CD40LG	4241.0
0	CD46	2587.75
0	CD55	5221.5
0	CD63	1255.5
0	CD68	940.0
0	CD72	83.25
0	CD79B	32.5
0	CD80	48.5
0	CD82	942.0
0	CD86	16.25
0	CD8A	29.75
0	CD9	4.5
0	CD93	85.5
0	CD96	3771.75
0	CD99	1515.25
0	CD99L2	213.0
0	CDC123	3374.5
0	CDC20	209.0
0	CDC20B	182.5
0	CDC25C	5.25
0	CDC27	1075.25
0	CDC37	4620.25
0	CDC42BPA	50.0
0	CDC42BPG	176.5
0	CDC42EP1	28.0
0	CDC42EP3	960.75
0	CDC42SE1	5990.5
0	CDC42SE2	7620.25
0	CDC6	3505.25
0	CDC7	564.25
0	CDC73	2902.5
0	CDCA4	446.75
0	CDCA7	810.0
0	CDCA7L	1410.25
0	CDH10	23.75
0	CDH11	3.5
0	CDH13	71.75
0	CDH16	2.5
0	CDH18	207.25
0	CDH24	22.75
0	CDH4	7.0
0	CDH6	103.75
0	CDH8	128.25
0	CDH9	26.0
0	CDHR1	13.0
0	CDHR4	113.5
0	CDIP1	525.0
0	CDK1	104.75
0	CDK12	3888.5
0	CDK13	3808.25
0	CDK14	61.25
0	CDK16	1558.75
0	CDK17	1277.5
0	CDK20	79.0
0	CDK2AP1	489.75
0	CDK3	52.5
0	CDK5	101.0
0	CDK5RAP2	1464.25
0	CDK6	17407.0
0	CDK7	571.25
0	CDK8	571.75
0	CDKAL1	968.25
0	CDKL1	330.75
0	CDKL2	8.0
0	CDKL5	4410.5
0	CDKN1A	921.25
0	CDKN2AIP	584.5
0	CDKN2C	16.75
0	CDKN2D	781.25
0	CDON	313.5
