H3K27ac_count	Gene_Name	Mean_Gene_Expression
0	EIF3H	2957.0
0	EIF3K	1306.25
0	EIF4E	3182.75
0	ELL3	37.0
0	ELOF1	2768.0
0	ELOVL4	63.25
0	ELP2	1189.75
0	EMC2	181.75
0	EMC3	479.75
0	EMC9	119.75
0	EMP1	276.5
0	ENKUR	4.75
0	ENPP2	42.5
0	ENPP4	258.25
0	ENTHD1	6.5
0	ENTPD1	780.0
0	EOMES	228.0
0	EP300	6554.25
0	EPB42	36.0
0	EPC1	2018.25
0	EPHA1	148.0
0	ERCC5	522.5
0	ERCC6L2	701.0
0	ERGIC2	375.5
0	ERICH4	5.0
0	ERO1B	176.0
0	ERV3-1	202.0
0	ESAM	38.25
0	ESPL1	434.25
0	ESRRA	467.75
0	ETNK1	4012.25
0	ETV5	31.75
0	EVI2B	4519.25
0	EXO1	588.0
0	EXOC3L1	2.0
0	EXOG	477.5
0	EXOSC9	686.25
0	EYA3	2407.5
0	EYS	939.25
0	EZH2	1717.25
0	F12	8.5
0	F8	31.5
0	FAAH2	384.75
0	FAAP100	311.5
0	FABP5	487.25
0	FADS3	218.0
0	FAIM	384.25
0	FAM110D	132.75
0	FAM117B	2409.25
0	FAM124B	38.5
0	FAM13A	10735.25
0	FAM160B1	701.5
0	FAM166A	132.75
0	FAM168B	3408.0
0	FAM177A1	1701.5
0	FAM177B	6.0
0	FAM189A2	2.25
0	FAM204A	1121.5
0	FAM20B	991.25
0	FAM234B	411.75
0	FAM24B	57.25
0	FAM3C	848.75
0	FAM53A	14.5
0	FAM53B	1163.5
0	FAM98B	1208.25
0	FANCD2	2178.5
0	FANCE	130.25
0	FASLG	244.25
0	FASTKD1	367.0
0	FBL	5156.5
0	FBXL14	582.5
0	FBXL4	495.75
0	FBXO11	1389.0
0	FBXO28	768.25
0	FBXO3	730.75
0	FBXO34	726.5
0	FBXO47	1.25
0	FBXO7	1825.75
0	FBXW7	2298.25
0	FBXW9	39.5
0	FCGR2A	58.0
0	FCHSD1	650.0
0	FCRL1	142.75
0	FCRL2	121.25
0	FCRL6	7.25
0	FCRLB	2.25
0	FDX1	478.0
0	FEM1A	1865.5
0	FEM1B	1945.0
0	FERMT3	2170.0
0	FES	34.75
0	FGD2	232.5
0	FGF7	14.75
0	FGF9	90.0
0	FGFBP2	5.5
0	FH	588.5
0	FHL3	194.75
0	FILIP1	104.0
0	FITM1	23.25
0	FKBPL	15.25
0	FLG2	35.5
0	FMO5	239.75
0	FMOD	22.25
0	FNDC3B	3419.75
0	FNTB	422.5
0	FOPNL	1253.5
0	FOS	1650.25
0	FOSB	868.25
0	FOXD2	18.5
0	FOXP4	1092.75
0	FPGS	309.0
0	FUBP1	6161.5
0	FUCA2	184.0
0	FURIN	3485.25
0	FUS	11045.25
0	FUZ	71.5
0	FXR1	2808.25
0	FYCO1	940.25
0	G0S2	178.0
0	G2E3	457.25
0	G3BP1	7862.5
0	G3BP2	4188.75
0	G6PC2	7.5
0	GAB3	453.25
0	GABRR2	2.75
0	GAD1	18.5
0	GADD45A	321.25
0	GADD45G	5.75
0	GADD45GIP1	746.5
0	GAL3ST4	762.75
0	GALC	1207.0
0	GALM	798.5
0	GALNT4	752.25
0	GALR2	73.75
0	GAN	39.25
0	GARNL3	139.5
0	GAS2	7.75
0	GATA2	207.5
0	GATA3	2155.0
0	GBA	661.25
0	GBE1	292.0
0	GBP4	4350.25
0	GBP7	30.0
0	GCC2	2089.25
0	GCM1	45.75
0	GCSAM	194.5
0	GDAP1	605.0
0	GDF10	2.25
0	GDPD5	622.75
0	GFM1	3781.25
0	GGCX	709.5
0	GHRL	180.75
0	GINS4	512.5
0	GIPR	266.25
0	GIT1	3045.5
0	GJA10	8.75
0	GLA	434.25
0	GLB1L2	283.25
0	GLG1	11445.75
0	GLIPR1	292.25
0	GLIPR1L2	316.5
0	GLRX	1059.75
0	GLRX3	960.75
0	GLUL	545.25
0	GLYCTK	186.0
0	GMDS	288.0
0	GMFB	1263.75
0	GMPPA	777.0
0	GNAI3	2582.5
0	GNGT1	49.25
0	GOLGA5	348.0
0	GOLGB1	2132.25
0	GON4L	2735.75
0	GOT1	323.0
0	GP5	57.25
0	GPBP1	2687.0
0	GPC5	1.5
0	GPCPD1	1034.0
0	GPN2	989.25
0	GPR137	252.25
0	GPR150	25.75
0	GPR162	2.5
0	GPR171	696.5
0	GPR179	70.25
0	GPR182	25.75
0	GPR22	47.25
0	GPR3	207.5
0	GPR65	373.25
0	GPR68	276.25
0	GPR84	4.0
0	GPRIN3	4467.5
0	GPX8	65.25
0	GRAMD1C	71.0
0	GREM2	55.0
0	GRID1	11.0
0	GRK6	2016.5
0	GRN	487.0
0	GRPEL2	812.0
0	GRWD1	767.0
0	GSG1	479.0
0	GSK3A	2026.75
0	GSTO1	239.25
0	GTF2A1	5899.5
0	GTF2F2	964.75
0	GTF3C1	1416.25
0	GTF3C2	3151.75
0	GTF3C6	465.25
0	GTPBP8	537.75
0	GXYLT1	376.25
0	GYG1	755.75
0	GZMA	347.0
0	HAL	14.25
0	HAPLN3	1469.75
0	HAUS4	418.0
0	HAUS5	864.5
0	HBP1	3209.5
0	HBS1L	1661.75
0	HDAC2	1429.0
0	HDAC8	863.0
0	HDLBP	4996.25
0	HEATR3	1137.75
0	HECA	2037.75
0	HECTD3	991.25
0	HENMT1	236.5
0	HERC3	1984.5
0	HERC5	291.5
0	HIBADH	286.5
0	HIF1AN	2351.5
0	HILPDA	199.0
0	HIPK1	3918.75
0	HIVEP3	10224.5
0	HKDC1	53.0
0	HLA-B	18590.0
0	HLA-DMB	149.75
0	HLA-DOA	255.5
0	HLA-DOB	211.5
0	HLA-DPB1	512.5
0	HLA-DQA1	2514.5
0	HLA-DQA2	2.75
0	HLA-DQB1	735.75
0	HLA-DQB2	97.75
0	HLA-DRA	286.5
0	HLA-DRB1	408.5
0	HLA-G	3.5
0	HMGA1	18468.5
0	HMGN5	57.25
0	HNRNPA1	26081.0
0	HNRNPA2B1	57022.0
0	HNRNPC	11548.25
0	HNRNPD	14862.25
0	HNRNPH3	12903.75
0	HNRNPL	1879.75
0	HOXA10	0.5
0	HOXA5	1.75
0	HOXA6	4.75
0	HOXB2	118.25
0	HOXB3	162.0
0	HOXB6	2.75
0	HOXB9	12.0
0	HOXC4	11.75
0	HPCAL1	1525.5
0	HPX	110.75
0	HRK	122.75
0	HRNR	26.0
0	HS1BP3	136.25
0	HSD11B1	16.75
0	HSD17B12	1969.25
0	HSD17B4	962.25
0	HSDL2	178.25
0	HSF2	227.5
0	HSF5	231.5
0	HSP90B1	26489.75
0	HSPA1B	400.75
0	HSPA8	31440.75
0	HSPA9	9816.75
0	HTATIP2	337.75
0	HTR1D	50.25
0	HTRA4	201.0
0	IBTK	1320.0
0	ICAM1	1371.5
0	ICAM4	134.25
0	ICE1	2394.5
0	ICE2	4137.5
0	ID2	2022.0
0	IDH2	791.75
0	IDH3B	1330.75
0	IDNK	264.5
0	IER5	502.5
0	IFI16	3264.25
0	IFI27	73.5
0	IFI35	305.25
0	IFI44	231.0
0	IFI44L	229.25
0	IFI6	281.25
0	IFIT1	190.25
0	IFIT1B	3.0
0	IFNAR1	1078.5
0	IFNGR2	224.5
0	IFT27	250.75
0	IFT46	320.5
0	IFT74	411.0
0	IFT81	477.5
0	IGF1	226.0
0	IGF2BP3	218.0
0	IGFL4	115.5
0	IKBKB	2406.25
0	IL12B	10.0
0	IL16	3291.25
0	IL17A	47.5
0	IL18BP	1701.0
0	IL18RAP	141.25
0	IL1RL1	53.25
0	IL1RL2	10.5
0	IL2	4143.5
0	IL21	7.25
0	IL21R	2002.5
0	IL23A	100.75
0	IL23R	329.5
0	IL24	626.5
0	IL26	15.75
0	IL2RA	17695.5
0	IL36A	1.25
0	IL5	401.0
0	IL6	23.25
0	IL9	1497.0
0	ILKAP	1032.5
0	IMMT	2603.75
0	IMP3	441.0
0	IMPDH1	446.5
0	IMPDH2	1599.25
0	ING3	426.25
0	INHBC	9.25
0	INIP	843.75
0	INO80B	898.75
0	INO80C	682.25
0	INPP4A	3424.25
0	INPP4B	11354.25
0	INSL6	134.5
0	INTS6L	484.5
0	IPO11	1394.25
0	IQCA1	2.75
0	IQCG	243.75
0	IRF4	37983.0
0	IRF8	7023.75
0	IRF9	2225.0
0	IRGM	87.75
0	ISG15	77.75
0	ISOC2	112.25
0	ITGA5	740.0
0	ITGAE	172.25
0	ITGAV	184.5
0	ITIH1	24.75
0	ITM2A	1199.5
0	IVNS1ABP	2903.5
0	IWS1	1568.0
0	JADE1	1824.5
0	JRKL	196.5
0	JUP	57.0
0	KANSL1L	407.5
0	KBTBD11	203.25
0	KBTBD2	1741.5
0	KBTBD7	85.75
0	KCNA3	1603.25
0	KCNAB2	1447.5
0	KCNIP2	42.25
0	KCNJ15	175.0
0	KCNJ9	150.25
0	KCNK7	3.0
0	KCNMB1	216.25
0	KCNN1	124.0
0	KDM3B	2265.5
0	KIAA0040	1007.75
0	KIAA0232	858.25
0	KIAA0408	9.25
0	KIAA0556	470.25
0	KIAA1549L	8.75
0	KIAA1586	189.5
0	KIF13B	637.5
0	KIF21A	1971.0
0	KIF22	1358.0
0	KIF26B	31.25
0	KIFC1	177.25
0	KIZ	288.25
0	KLF9	953.75
0	KLHDC10	842.75
0	KLHDC8A	5.0
0	KLHL15	818.0
0	KLHL20	575.0
0	KLHL24	1586.5
0	KLHL26	343.5
0	KLHL3	895.0
0	KLHL5	576.0
0	KLHL6	3796.25
0	KLHL9	453.75
0	KLRF1	3.0
0	KMO	58.25
0	KMT2D	6442.75
0	KPNA2	873.0
0	KPNA5	3651.75
0	KPNA6	2428.75
0	KTN1	2801.75
0	L1TD1	58.75
0	LAGE3	120.25
0	LAIR1	1322.5
0	LAMP3	1125.75
0	LAMTOR1	403.0
0	LAMTOR5	960.75
0	LANCL1	609.75
0	LAPTM5	10701.0
0	LAX1	549.5
0	LBHD1	598.5
0	LCN12	32.25
0	LCORL	925.0
0	LCP1	21299.0
0	LCP2	11966.0
0	LDHAL6A	166.0
0	LDHB	8066.25
0	LDLRAD4	948.75
0	LECT2	9.5
0	LEF1	13621.25
0	LEMD2	891.25
0	LENEP	9.0
0	LENG1	257.75
0	LETM2	297.5
0	LETMD1	1162.25
0	LGALS12	1.0
0	LGALS14	8.5
0	LGR6	13.5
0	LHFPL1	4.25
0	LIF	4233.25
0	LILRA4	363.0
0	LIPC	119.0
0	LIPE	402.75
0	LMAN1L	2.75
0	LMAN2	937.25
0	LMBR1	1970.25
0	LMBRD1	882.0
0	LMOD3	219.5
0	LPGAT1	2563.25
0	LPIN3	128.75
