	SRX5797708	SRX5797709	SRX5797712	SRX5797713	SRX5797716	SRX5797717
DAZAP2	22615	27900	11687	15050	8125	17961
DBF4	1172	2124	1306	1006	977	1425
DBF4B	59	412	318	294	67	232
DBF4P1	0	10	0	0	0	4
DBI	4892	5599	2469	3261	1536	3151
DBIL5P2	4	17	3	2	6	13
DBN1	0	4	131	1	0	11
DBNDD2	150	283	243	57	0	86
DBNL	4873	3781	3961	2072	3858	2580
DBP	168	324	235	156	68	222
DBR1	405	676	247	501	213	574
DBT	575	1723	455	1091	137	986
DCAF1	1275	682	589	391	681	616
DCAF10	294	1203	418	806	1217	786
DCAF11	9711	13261	6190	6537	2630	8819
DCAF12	1355	901	502	601	1423	710
DCAF13	1795	2556	1112	1569	1349	1670
DCAF13P3	3	12	1	3	6	7
DCAF15	12	104	148	32	90	56
DCAF16	655	2041	1385	1581	1056	1091
DCAF17	939	710	668	438	250	423
DCAF4	752	692	258	538	147	495
DCAF4L1	3	66	145	38	0	27
DCAF5	3888	6351	2916	3648	669	4878
DCAF6	876	1134	454	710	58	767
DCAF7	4634	7275	4114	3866	1154	4320
DCAF8	1423	4339	2682	2578	1239	3462
DCAF8L2	5	5	1	4	3	5
DCAKD	510	952	493	414	1305	559
DCBLD1	39	119	44	71	53	85
DCBLD2	82	190	270	133	56	159
DCC	15	18	8	12	2	5
DCDC1	43	125	70	85	66	94
DCDC2	16	49	43	36	16	27
DCDC2B	1	23	114	28	0	21
DCHS1	0	5	7	5	0	18
DCHS2	11	29	22	26	18	25
DCK	1966	1293	738	717	756	1101
DCLK1	13	51	27	29	14	23
DCLK2	120	19	0	3	1	11
DCLRE1A	495	318	4	148	0	240
DCLRE1B	465	188	0	162	1	286
DCLRE1C	56	2138	272	1027	518	1293
DCLRE1CP1	0	0	0	5	12	7
DCN	45	55	46	65	36	53
DCP1A	4242	6743	3056	3379	2962	3471
DCP1B	636	921	355	519	148	652
DCP2	5309	4329	2488	3030	2028	3805
DCPS	926	1710	730	803	4	855
DCST1	0	3	6	2	0	4
DCST2	0	19	0	1	0	14
DCTD	1637	1644	1342	1112	323	1573
DCTN1	1150	3057	2681	1663	2296	2548
DCTN2	2441	1928	1415	1123	2087	1163
DCTN3	808	1365	541	664	148	734
DCTN4	527	1135	599	728	267	671
DCTN5	3128	3420	1471	2030	1717	1867
DCTN6	641	762	461	518	95	350
DCTPP1	720	1556	685	828	849	900
DCUN1D1	9778	7229	2656	3614	4051	4584
DCUN1D2	68	780	436	478	315	440
DCUN1D3	494	532	126	279	191	371
DCUN1D4	17	598	953	637	751	427
DCUN1D5	907	219	304	121	311	189
DCX	5	25	17	16	11	11
DCXR	412	210	376	52	294	465
DDA1	778	1228	741	574	277	649
DDAH1	0	37	1	15	0	26
DDAH2	475	455	90	203	0	234
DDB1	4472	7397	2828	4400	2125	5956
DDB2	698	2038	866	1165	891	1177
DDHD1	274	1341	729	753	585	913
DDHD2	1167	921	525	594	2376	645
DDI2	527	1167	1011	842	430	642
DDIAS	160	96	10	85	443	83
DDIT3	702	3066	784	978	1731	1445
DDIT4	4013	3667	6399	3357	3432	4041
DDIT4L	0	0	1	15	1	0
DDO	4	20	0	27	10	11
DDOST	10083	19078	8001	11489	3026	10122
DDR2	0	5	2	14	0	6
DDRGK1	403	175	137	108	96	160
DDT	853	1155	658	471	565	791
DDTL	111	157	253	32	7	66
DDTP1	0	0	23	0	0	0
DDX1	1711	2562	1054	1239	949	1942
DDX10	1740	1968	1145	1361	806	1451
DDX10P1	0	1	0	5	0	4
DDX11	25	1134	619	357	400	585
DDX11L2	0	19	0	38	0	4
DDX11L9	0	18	0	3	0	0
DDX12P	0	85	193	37	0	58
DDX17	3743	7417	3097	3726	2902	3508
DDX18	3399	3707	1359	2089	857	2481
DDX18P1	0	4	37	14	0	17
DDX19A	1325	4691	1345	2217	1475	2341
DDX19B	2325	2365	1235	1696	95	1752
DDX20	228	243	202	161	1	282
DDX21	4706	4092	1890	2151	1029	2546
DDX23	1707	3182	1223	1664	1197	2337
DDX24	6859	7866	4195	5350	2402	6471
DDX25	50	120	97	83	74	72
DDX27	2205	5344	2060	2880	159	3378
DDX28	28	99	80	50	0	71
DDX31	150	487	297	189	0	353
DDX39A	2563	4965	1539	2185	265	2831
DDX39B	2938	5552	2138	3107	1084	3790
DDX3X	10220	20387	7947	8581	5846	20396
DDX3Y	10	5	5711	5363	5	6
DDX41	632	2725	1451	1435	987	1744
DDX42	560	1411	568	858	215	873
DDX43	0	139	8	38	3	61
DDX46	2533	4529	1604	2220	610	2593
DDX47	1854	4141	2309	2697	745	2802
DDX49	827	1000	883	637	1193	723
DDX5	31430	118391	48068	61384	32336	85344
DDX50	2040	2265	1566	1519	45	1424
DDX50P1	11	68	64	45	29	73
DDX50P2	8	9	15	4	0	6
DDX51	132	701	621	428	629	548
DDX52	1440	2481	1010	1517	694	1239
DDX54	74	109	202	67	1	196
DDX55	465	2313	1170	1155	85	1240
