	SRX5797708	SRX5797709	SRX5797712	SRX5797713	SRX5797716	SRX5797717
KIF3C	5	75	2	38	1	38
KIF4A	0	100	1	41	2	12
KIF4CP	4	4	0	5	0	14
KIF5A	1	3	0	23	0	4
KIF5B	929	2138	520	1105	372	1323
KIF5C	1	6	0	18	0	55
KIF6	82	201	154	181	80	121
KIF9	431	964	493	857	311	781
KIFAP3	686	1384	775	1168	1205	1052
KIFBP	144	306	186	116	28	215
KIFC1	3	159	8	38	35	23
KIFC2	0	16	0	0	0	0
KIFC3	158	320	35	155	682	249
KIN	1259	2194	753	1220	782	1171
KIR2DL4	1459	702	223	176	22	177
KIR3DL1	1	15	0	0	41	5
KIR3DL2	7	6	5	16	0	18
KIR3DX1	125	375	263	264	187	280
KIRREL3	50	139	53	71	43	75
KIT	17465	23130	14496	18573	7366	26524
KIZ	18	770	575	379	167	348
KL	0	42	163	17	0	2
KLB	88	297	218	195	99	225
KLC1	145	384	434	210	28	247
KLC2	9	18	2	12	1	12
KLC3	96	135	105	127	110	108
KLC4	704	1348	324	882	893	1001
KLF1	0	0	0	9	0	2
KLF10	1673	3247	1547	638	2376	4986
KLF11	726	891	144	295	57	556
KLF12	1708	1688	1371	979	594	1122
KLF13	556	1010	398	608	264	459
KLF16	0	16	55	7	0	14
KLF17	5	22	12	8	9	17
KLF17P1	0	1	0	2	0	17
KLF2	28	320	113	166	150	195
KLF2P2	0	6	7	4	8	7
KLF2P4	33	49	29	37	12	46
KLF3	221	209	51	225	97	259
KLF4	0	365	172	320	1	622
KLF4P1	0	43	0	4	5	21
KLF5	0	4	0	8	0	11
KLF6	28929	18820	20643	7891	33682	44674
KLF7	383	557	897	1450	0	575
KLF7P1	0	1	0	9	0	0
KLF8	81	188	70	119	41	137
KLF9	177	411	225	383	1	274
KLHDC1	176	234	79	103	15	106
KLHDC10	7	358	116	298	483	410
KLHDC2	92	458	312	261	2	311
KLHDC3	989	1624	352	771	55	762
KLHDC4	245	648	473	378	101	407
KLHDC7B	0	6	0	9	0	21
KLHDC8B	0	27	0	35	1	58
KLHDC9	0	0	52	18	0	23
KLHL11	0	34	0	6	0	8
KLHL12	434	417	424	328	1	349
KLHL13	0	23	54	18	0	20
KLHL15	317	228	35	139	0	147
KLHL17	0	28	1	10	0	14
KLHL18	1120	1512	767	764	914	1164
KLHL2	21	352	7	222	11	246
KLHL20	533	1678	679	967	1451	986
KLHL21	937	438	108	286	95	333
KLHL22	504	484	183	358	202	359
KLHL23	3	32	56	32	6	22
KLHL24	1649	2679	2003	1963	215	1984
KLHL25	348	99	74	55	2	116
KLHL26	224	177	62	110	62	106
KLHL28	4824	5863	2828	3056	577	4003
KLHL29	0	48	30	30	37	23
KLHL3	409	517	621	601	621	451
KLHL30	39	61	39	18	30	18
KLHL31	0	37	0	13	0	20
KLHL32	0	42	0	81	224	44
KLHL33	78	96	111	130	99	141
KLHL35	47	80	34	62	30	49
KLHL36	1439	1678	263	979	1404	867
KLHL41	0	10	0	7	0	0
KLHL42	659	403	262	166	3	228
KLHL5	219	969	187	598	1454	733
KLHL6	2578	2714	1706	1814	1810	1605
KLHL7	294	610	400	405	112	562
KLHL8	1060	838	707	669	839	584
KLHL9	1027	1107	440	607	1080	713
KLK10	27	115	153	64	73	81
KLK11	14	50	26	20	17	14
KLK13	0	0	30	1	0	0
KLK2	3	39	23	25	12	17
KLK4	0	0	0	1	25	0
KLK7	13	24	23	39	20	23
KLK8	0	0	55	0	0	0
KLLN	144	250	143	174	105	132
KLRA1P	1	104	1	92	0	225
KLRB1	29746	46843	16478	27768	7833	25478
KLRC1	16078	20175	7222	10088	2760	2195
KLRC2	663	433	795	243	794	132
KLRC3	187	185	765	191	487	45
KLRC4	115	13	175	20	5	8
KLRC4-KLRK1	7344	4551	3215	1967	1657	1392
KLRD1	9277	6082	5610	5561	3414	3231
KLRF1	174	51	26	88	701	38
KLRF2	1967	2369	1520	1106	1074	1135
KLRG1	24	622	482	347	41	292
KLRK1	6160	16203	19669	12508	4598	5757
KMO	3	36	24	27	6	22
KMT2A	1901	4665	1728	2795	634	3019
KMT2B	65	606	487	255	213	344
KMT2C	1556	5635	2749	3631	1435	3718
KMT2D	415	883	630	486	370	575
KMT2E	11158	15424	6369	8030	5284	10356
KMT5A	1403	2318	1382	1130	894	1771
KMT5B	2511	1669	1074	958	1918	1194
KMT5C	21	194	74	151	56	111
KNG1	0	0	0	0	0	10
KNL1	30	297	278	73	47	71
KNOP1	454	1491	767	940	377	1022
KNOP1P2	0	0	54	18	0	15
KNOP1P4	13	5	0	7	0	20
KNSTRN	250	692	385	333	492	423
KNTC1	150	1064	405	680	88	766
KPNA1	1950	1534	1073	873	107	1410
KPNA2	2336	3212	1325	1141	1519	2004
KPNA2P3	13	156	13	34	253	87
KPNA3	740	1148	846	761	672	1150
KPNA4	2045	3018	1205	1682	181	2094
KPNA5	1097	2165	1605	1538	917	1604
KPNA6	5568	6232	2313	3513	1041	4124
KPNB1	3261	5771	2386	2967	1172	3345
KPTN	0	72	118	48	9	47
KRAS	1118	1022	443	549	693	618
KRBA1	0	41	154	10	3	20
KRBA2	72	516	514	313	8	208
KRBOX1	0	5	0	24	0	7
KRBOX4	962	2956	550	1520	827	1483
KRCC1	778	2167	1062	1112	312	1068
KREMEN1	175	462	213	249	131	237
KRI1	1638	3037	1414	1517	2004	2061
KRIT1	595	1509	254	886	439	1075
KRR1	2266	3066	1180	1456	1876	1657
KRR1P1	0	9	0	3	1	11
KRT10	310	227	145	102	172	161
KRT13	2	0	3179	11	0	10
KRT15	54	134	53	69	67	48
KRT16	0	0	0	0	41	0
KRT17P5	1	12	6	4	0	8
KRT18	515	255	46	136	484	196
KRT18P18	0	0	0	0	0	11
KRT18P26	0	17	65	2	0	10
KRT18P31	15	11	1	14	0	33
KRT18P34	0	19	0	11	0	20
KRT18P4	0	17	43	10	1	6
KRT18P5	0	45	0	21	0	6
KRT18P52	0	11	0	2	0	0
KRT18P59	5	20	16	15	12	18
KRT18P61	174	33	74	39	355	34
KRT18P7	1	56	15	37	1	36
KRT19	0	0	143	0	0	0
KRT4	0	0	772	3	0	0
KRT42P	38	45	55	45	36	35
KRT6A	0	0	222	1	0	0
KRT7	661	340	180	107	0	169
KRT78	0	0	300	0	0	1
KRT8	105	222	74	129	44	124
KRT80	0	14	4	15	0	16
KRT81	11911	8889	4204	2699	3153	4282
KRT83	90	366	25	105	2	110
KRT85	23	16	24	15	46	36
KRT86	3699	1813	2066	674	5816	2025
KRT89P	109	82	34	2	0	2
KRT8P12	0	163	88	68	0	74
KRT8P15	0	15	118	4	0	11
KRT8P18	9	2	1	0	0	3
KRT8P21	10	0	0	1	0	0
KRT8P33	220	5	0	11	0	8
KRT8P39	0	7	0	7	0	47
KRT8P44	8	1	0	2	0	1
KRT8P46	0	11	43	0	0	8
KRT8P48	185	3	0	26	0	11
KRT8P50	0	18	0	9	0	24
KRT8P52	0	13	0	3	0	6
KRTAP16-1	0	0	0	15	0	2
KRTAP5-11	0	4	11	1	0	4
KRTAP9-6	12	36	20	19	9	10
KRTCAP2	1508	4095	1641	2223	1189	2099
KRTCAP2P1	0	0	20	1	0	0
KRTCAP3	43	18	4	24	0	54
KSR1	186	805	757	465	1123	430
KSR2	7	8	5	9	8	2
KTI12	92	228	217	129	312	219
KTN1	1862	3927	2652	2676	1359	2687
KXD1	1553	4698	2561	2522	1257	2779
KY	2	2	2	4	3	3
KYAT1	0	291	12	217	0	209
KYAT3	676	694	113	529	32	627
KYNU	331	632	414	505	298	507
L1TD1	5	21	31	24	14	9
L2HGDH	228	642	256	377	336	483
L3HYPDH	45	117	156	113	14	84
L3MBTL1	634	494	199	331	83	394
L3MBTL2	2156	4051	1566	2151	65	2626
L3MBTL3	28	165	307	133	64	65
L3MBTL4	116	179	329	293	28	195
LACC1	475	1003	236	463	50	476
LACTB	543	778	119	401	160	540
LACTB2	216	466	238	401	45	349
LAGE3	134	330	114	110	23	139
LAGE3P1	0	9	0	4	0	3
LAIR1	4208	11569	4436	7211	1984	7028
LAIR2	199	316	35	111	0	32
LAMA1	20	41	23	23	24	23
LAMA2	0	21	0	1	0	12
LAMA3	152	52	0	57	0	8
LAMA4	23	50	25	28	13	34
LAMA5	6	9	4	10	4	8
LAMB1	40	69	82	48	0	63
LAMB3	0	7	0	0	0	5
LAMB4	32	65	62	62	54	60
LAMC2	19	62	19	35	44	55
LAMC3	30	49	38	37	21	29
LAMP1	944	1196	527	665	386	742
LAMP2	3282	2848	1851	2464	323	2470
LAMP3	36	168	77	67	53	120
LAMP5	0	18	0	7	0	0
LAMTOR1	3057	3929	2191	2235	1756	2488
LAMTOR2	600	1898	880	1134	447	940
LAMTOR3	1062	2019	600	994	456	1065
LAMTOR4	2328	3985	1549	2057	744	2009
LAMTOR5	2034	3240	923	1847	2743	1669
LAMTOR5P1	0	2	0	0	75	0
LANCL1	526	752	247	570	15	492
LANCL2	31	334	206	187	117	288
LANCL3	7	43	5	55	11	61
LAP3	1664	2849	755	1273	1053	1407
LAP3P2	9	12	2	6	26	10
LAPTM4A	3181	5799	2693	3486	2707	3527
LAPTM4B	770	671	739	750	343	603
LAPTM5	14948	14711	3740	7267	4196	9323
LARGE1	236	222	256	293	937	498
LARP1	1766	3064	976	1666	747	1875
LARP1B	236	700	5	365	86	303
LARP4	1687	1479	529	1078	14	970
LARP4B	1676	2987	1245	1894	237	2514
LARP6	14	37	34	52	45	35
LARP7	1713	3475	1055	1539	1601	1665
LARS1	2012	3593	1674	2360	2347	2532
LARS2	1027	988	162	450	1343	649
LAS1L	1169	1956	389	1244	3	1433
LASP1	5194	4243	2726	2601	970	2854
LAT	1430	3200	1360	1104	308	1530
LAT2	9042	10015	5530	5337	4044	7692
LATS1	285	1292	459	599	517	1024
LATS2	250	845	143	240	72	437
LAX1	408	666	195	298	832	486
LAYN	611	385	322	121	252	157
LBH	783	935	844	456	39	482
LBHD1	104	1328	689	691	92	1179
LBR	1821	3017	406	1614	330	2315
LBX2	0	7	39	2	1	14
LCA5	0	91	185	69	0	113
LCA5L	68	147	127	105	35	127
LCAT	197	300	129	155	16	91
LCK	14385	11007	6343	4537	5270	6367
LCLAT1	2660	3470	1623	1917	758	2081
LCMT1	1290	1766	673	971	980	1018
LCMT2	416	269	48	178	43	199
LCN10	365	831	631	777	561	628
LCN12	4	4	2	0	0	4
LCN15	14	52	42	38	19	37
LCN2	0	0	212	10	0	0
LCOR	3831	5913	2173	3287	3612	4380
LCORL	32	263	103	170	15	210
LCP1	54844	75187	27565	44671	19544	60276
LCP2	9570	14656	8818	7777	4636	9368
LCTL	51	88	145	90	31	102
LDAH	659	902	169	504	621	742
LDB1	185	350	272	153	4	323
LDB2	33	147	796	504	1	187
LDB3	45	101	72	78	50	62
LDHA	17604	20947	6836	9545	3648	9322
LDHAL6A	31	30	32	22	10	5
LDHAL6CP	38	96	77	67	43	62
LDHAP2	4	3	0	3	0	7
LDHAP3	15	17	25	28	0	2
LDHAP4	114	107	178	209	0	7
LDHAP7	63	50	69	123	1	0
LDHB	8929	16270	8283	13041	2848	9600
LDHBP1	69	201	128	147	107	150
LDHC	4	7	11	7	5	10
LDHD	1	4	0	3	0	81
LDLR	296	987	692	599	267	682
LDLRAD1	14	32	32	18	38	17
LDLRAD3	1339	567	439	469	1291	764
LDLRAD4	3563	2784	2060	1414	1445	2094
LDLRAP1	29	251	29	134	84	194
LDOC1	742	1010	526	438	37	622
LEAP2	279	146	12	89	985	144
LECT2	9	9	8	8	1	5
LEF1	0	19	0	15	0	14
LEKR1	194	122	147	107	55	276
LEMD2	88	120	13	38	23	36
LEMD3	363	742	313	477	848	820
LENEP	0	2	0	16	0	7
LENG1	134	210	123	107	1	150
LENG8	117	321	266	178	373	176
LENG9	0	14	9	8	17	16
LEO1	2727	2507	1375	1447	793	1705
LEP	19	41	19	34	19	56
LEPR	2	81	4	89	1	98
LEPROT	2136	3168	2108	1752	1064	1805
LEPROTL1	4449	5511	1737	2797	3021	3996
LETM1	4077	3587	2491	2226	1219	2307
LETM2	78	268	122	270	104	300
LETMD1	1410	2402	1500	1699	713	1356
LFNG	0	113	6	58	2	43
LGALS1	1068	1531	509	527	871	588
LGALS12	1	35	0	13	0	8
LGALS2	0	13	1	1	0	22
LGALS3	739	702	73	158	614	270
LGALS3BP	3127	3831	956	1899	2052	1957
LGALS4	33	126	36	78	31	85
LGALS8	1774	2847	1041	1666	995	1630
LGALS9	2021	2862	1547	1711	258	1304
LGALS9B	5	12	1	7	0	0
LGALS9C	0	51	3	37	0	16
LGALSL	32	62	199	82	0	69
LGI1	26	31	38	26	12	20
LGI4	0	6	0	7	0	9
LGMN	377	435	373	289	184	318
LGMNP1	4	1	3	1	0	1
LGR4	1	0	3	2	17	7
LGR6	3	4	1	3	0	3
LGSN	30	77	43	67	53	61
LHFPL1	0	10	0	18	0	6
LHFPL2	10	89	9	53	3	58
LHFPL4	0	15	0	0	0	23
LHFPL5	11	49	36	60	39	63
LHFPL6	0	29	4	17	1	11
LHPP	2	36	1	58	0	131
LHX4	0	49	0	32	0	20
LIAS	1112	1516	1021	1156	403	981
LIF	2410	4557	723	1285	623	2259
LIG1	60	448	390	244	59	215
LIG3	751	2190	541	1094	10	1598
LIG4	292	559	98	205	0	273
LILRA1	0	1	0	3	7	5
LILRA2	67	199	51	125	96	96
LILRA4	0	16	0	0	186	58
LILRA5	61	169	127	102	110	149
LILRA6	50	95	4	112	3	52
LILRB1	53	134	170	86	69	77
LILRB2	1	6	0	3	658	3
LILRB3	0	3	35	1	80	20
LILRB4	3	12	6	5	1	9
LILRB5	50	147	84	76	79	53
LILRP2	8	395	279	9	5	106
LIMA1	44	346	918	391	171	233
LIMCH1	0	0	0	2	0	40
LIMD1	1417	891	654	556	107	732
LIMD2	1740	1057	1034	521	125	1045
LIMK1	834	1414	379	700	229	642
LIMK2	786	1813	660	832	445	806
LIMS1	3154	1777	1659	1111	1088	1393
LIMS3	7	2	13	14	70	46
LIN28A	57	154	124	87	107	120
LIN37	265	471	111	266	20	326
LIN52	1426	1704	604	807	274	925
LIN54	326	570	271	321	37	393
LIN7B	16	84	158	46	3	77
LIN7C	712	1904	590	1213	648	1785
LIN9	1	303	365	142	800	176
LINC00032	4	6	7	3	3	0
LINC00261	6	9	8	6	8	4
LINC00431	9	4	2	2	6	1
LINC00643	8	18	15	10	0	9
LINC00672	56	442	135	163	52	189
LINC00674	93	130	86	68	27	80
LINC00680	38	616	335	360	10	440
LINC00869	1102	1571	565	637	107	688
LINC00888	505	817	291	602	617	607
LINC00933	2	12	10	9	1	11
LINC01145	399	1351	620	682	898	832
LINC01347	24	88	29	47	0	72
LINC01399	0	9	9	21	0	6
LINC01862	12	17	5	21	0	27
LINC01881	25	128	77	101	5	129
LINC02210	1451	1214	963	996	280	894
LINC02495	67	198	148	166	126	172
LINC02693	26	28	14	46	25	29
LINC02694	49	107	73	87	70	88
LINGO2	0	11	7	0	0	1
LINGO3	1	8	0	4	0	7
LINGO4	1162	1195	1126	935	808	1496
LINS1	1573	1693	989	1169	2196	1400
LIPA	1584	2145	1187	1494	1720	1448
LIPC	131	276	86	158	50	135
LIPE	40	111	221	77	113	90
LIPG	103	254	175	183	145	142
LIPH	51	146	115	70	26	75
LIPN	0	34	93	0	0	2
LIPT1	371	935	420	580	923	508
LIPT2	0	18	0	3	0	1
LITAF	742	292	67	268	22	252
LITAFD	71	149	130	106	70	102
LIX1	10	73	12	22	25	34
LIX1L	1564	1811	870	1305	180	1418
LLGL1	34	125	49	62	9	97
LLGL2	21	265	176	134	24	147
LLPH	3056	3700	1259	2059	2247	1926
LMAN1	1721	2472	983	1577	919	1678
LMAN2	5632	4767	2895	2484	2476	2925
LMAN2L	1506	2947	1238	2250	784	2094
LMBR1	49	251	139	217	49	174
LMBR1L	1415	2066	1051	1580	1687	1525
LMBRD1	590	1409	1384	1281	572	1357
LMBRD2	88	262	108	174	1	220
LMCD1	14	177	139	46	3	56
LMF1	2	152	48	111	288	125
LMF2	31	400	406	193	5	293
LMLN	323	405	151	239	39	325
LMNA	3	196	140	96	207	386
LMNB1	7	287	33	147	2	150
LMNB2	30	125	27	70	27	40
LMNTD1	20	66	33	48	34	33
LMO2	15	3	55	0	0	1
LMO4	1255	707	602	464	143	578
LMO7	6	275	241	234	24	157
LMOD2	0	18	0	3	0	4
LMOD3	360	438	95	207	77	285
LMTK2	31	381	228	163	0	184
LMX1B	27	100	70	96	39	47
LNP1	2	20	7	26	0	7
LNPEP	3965	5111	3814	3594	3724	4128
LNPK	830	1643	708	1222	405	944
LNX1	532	417	1016	647	0	571
LNX2	66	287	84	155	68	194
LONP1	254	266	336	145	886	225
LONP2	2428	9306	5314	5002	1996	3650
LONRF1	64	166	16	80	614	72
LONRF2	28	153	128	74	24	67
LONRF3	342	120	0	68	168	115
LOX	2	0	0	9	0	1
LOXL1	0	0	85	0	0	0
LOXL2	59	213	67	115	32	158
LOXL3	1	130	57	86	1	93
LOXL4	0	10	0	13	0	3
LPA	0	2	0	4	12	1
LPAL2	49	744	365	426	71	441
LPAR1	332	1163	292	718	0	542
LPAR2	7	95	261	50	0	126
LPAR3	10	20	7	18	20	14
LPAR5	0	0	0	6	2	4
LPAR6	6630	2831	1671	836	402	1487
LPCAT1	87	257	1	78	6	114
LPCAT2	50	109	284	157	43	135
LPCAT3	1583	1996	936	1000	903	879
LPCAT4	929	1756	825	941	1101	1270
LPGAT1	1291	1402	671	697	67	762
LPIN1	2153	3845	2398	2374	2542	3132
LPIN2	1161	1341	471	941	1382	1543
LPIN3	69	272	69	110	46	84
LPO	64	148	49	66	69	77
LPP	2174	3740	2698	2166	665	2476
LPXN	11669	10204	3261	4764	1351	5578
LRAT	24	45	13	30	9	35
LRATD2	347	1025	423	471	256	1060
LRBA	1177	1810	769	1391	285	1684
LRCH1	24	487	620	308	0	479
LRCH3	632	1955	1674	1259	739	1337
LRCH4	78	255	192	107	89	212
LRFN1	2	13	0	12	0	20
LRFN3	19	47	25	21	16	41
LRG1	656	290	111	138	695	143
LRGUK	78	55	7	18	0	24
LRIF1	3258	2918	833	1732	658	1658
LRIG1	138	216	120	134	589	157
LRIG2	1049	1606	958	1204	858	1579
LRIT3	1	23	0	8	0	0
LRMDA	49	133	90	77	58	69
LRMP	653	3037	1620	2035	20	2208
LRP1	254	399	389	356	22	387
LRP10	1897	1112	524	547	637	787
LRP11	415	61	46	87	50	70
LRP12	1668	1272	286	768	1798	1380
LRP1B	0	17	0	0	0	0
LRP2	0	5	1	2	3	1
LRP2BP	36	140	193	111	31	143
LRP5	0	6	4	5	1	6
LRP5L	3	126	52	95	369	61
LRP6	1	6	1	6	0	6
LRP8	34	173	52	154	29	133
LRPAP1	1825	2277	978	1077	1397	1626
LRPPRC	794	1163	611	950	957	1292
LRR1	705	650	640	476	7	552
LRRC1	163	496	71	208	7	260
LRRC10	9	13	16	9	17	13
LRRC14	183	169	184	105	0	313
LRRC17	0	1	0	8	0	2
LRRC19	14	80	179	65	274	27
LRRC2	395	230	144	163	697	161
LRRC20	167	134	0	33	0	24
LRRC23	4	236	58	133	1	138
LRRC25	38	139	184	57	6	173
LRRC27	418	480	320	289	15	303
LRRC28	568	1236	697	686	124	603
LRRC29	0	43	115	50	0	19
LRRC3	59	79	47	59	35	36
LRRC34	33	130	56	54	20	100
LRRC36	58	155	68	134	49	95
LRRC37A	10	184	220	191	32	84
LRRC37A11P	10	18	4	18	3	22
LRRC37A14P	19	27	0	7	0	10
LRRC37A16P	863	654	329	223	253	455
LRRC37A17P	87	75	136	45	187	110
LRRC37A2	682	2843	940	1575	1897	1801
LRRC37A3	151	454	302	340	275	292
LRRC37A4P	303	1070	580	488	546	1616
LRRC37A5P	27	63	63	55	33	45
LRRC37A6P	46	99	40	40	61	76
LRRC37A7P	11	86	32	57	31	38
LRRC37A9P	23	34	14	20	30	19
LRRC37B	616	1061	712	640	1785	820
LRRC37BP1	1252	1773	1013	969	1281	1412
LRRC39	0	24	9	15	0	13
LRRC3C	0	0	33	0	0	0
LRRC4	0	0	1	3	86	1
LRRC40	473	1047	459	696	3	830
LRRC41	1352	2185	1641	1152	908	1210
LRRC42	110	121	3	75	0	85
LRRC43	0	56	104	39	0	22
LRRC45	166	6	0	6	1	15
LRRC46	0	6	0	10	1	7
LRRC47	241	677	248	339	204	498
LRRC49	295	328	95	213	105	309
LRRC56	11	27	14	18	2	15
LRRC57	2327	2849	897	1631	497	1776
LRRC58	1761	2048	986	1054	297	1295
LRRC59	959	616	608	319	1	587
LRRC6	0	16	0	3	0	1
LRRC61	226	29	46	12	0	34
LRRC63	1	44	114	60	0	29
LRRC69	359	728	437	481	358	488
LRRC7	0	44	3	25	0	14
LRRC70	0	408	113	367	58	516
LRRC73	30	0	0	0	0	0
LRRC74B	87	199	116	138	119	129
LRRC75A	5842	8375	4686	7012	2789	5573
LRRC75B	0	135	1	26	0	46
LRRC8A	160	478	230	283	143	280
LRRC8B	69	397	459	225	12	174
LRRC8C	566	1107	816	721	608	767
LRRC8D	1318	1710	858	879	24	1613
LRRC8E	42	96	64	85	44	83
LRRCC1	170	280	136	174	3	166
LRRD1	54	108	72	90	105	54
LRRFIP1	4761	6306	2994	3249	2135	3451
LRRFIP1P1	48	73	0	56	12	65
LRRFIP2	444	828	432	490	87	502
LRRIQ1	19	34	12	18	23	27
LRRIQ3	1	56	0	24	0	28
LRRK1	103	544	315	407	234	368
LRRK2	162	27	18	33	0	29
LRRN1	0	38	0	34	83	40
LRRN2	5	24	24	23	7	26
LRRN3	2129	1910	1266	436	528	545
LRRN4CL	58	113	95	67	45	75
LRRTM2	0	1	0	9	1	4
LRRTM4	95	182	113	136	22	94
LRSAM1	508	400	243	127	1	171
LRTOMT	361	1043	582	592	343	625
LRWD1	532	149	108	125	74	114
LSAMP	30	23	11	23	15	15
LSG1	1190	2309	1037	1351	551	1055
LSM1	636	1129	905	639	956	620
LSM10	1265	1631	545	733	1181	921
LSM11	103	215	41	173	83	191
LSM12	4497	6033	3549	3105	2604	3408
LSM14A	1947	3013	2786	1629	1229	2866
LSM14B	115	118	79	68	1	77
LSM2	874	1797	594	831	460	1232
LSM3	2187	3578	1258	1731	1110	1692
LSM3P2	0	9	6	3	0	11
LSM4	228	260	328	175	986	384
LSM5	2054	2748	1464	1518	731	1524
LSM6	805	1544	614	970	1092	898
LSM7	400	1280	628	529	247	620
LSM8	1066	2032	724	1341	784	1195
LSMEM1	0	6	0	14	0	14
LSP1	8368	6210	6492	3243	3716	4609
LSP1P4	0	153	40	28	0	36
LSR	159	113	231	78	2	144
LSS	397	295	181	115	0	216
LST1	8271	23273	4285	12074	6257	12589
LTA	8141	11326	1215	1702	2217	5453
LTA4H	21501	34799	13423	21009	4859	16376
LTB	1544	1988	463	686	729	855
LTB4R	213	337	393	127	211	193
LTB4R2	0	46	33	32	1	24
LTBP1	0	6	0	0	368	0
LTBP2	0	41	0	11	0	25
LTBP3	68	294	78	167	42	213
LTBP4	36	95	40	58	29	84
LTBR	468	1517	744	1030	771	920
LTC4S	0	21	26	15	1	11
LTK	0	12	0	2	0	8
LTN1	1031	2329	641	1482	1400	1475
LTO1	286	472	465	372	1047	348
LTV1	337	1622	486	959	589	933
LUC7L	322	1084	855	635	585	857
LUC7L2	1939	1410	2017	914	2510	1695
LUC7L3	1305	5383	3354	2301	1366	2304
LURAP1	8	40	20	29	15	29
LURAP1L	0	23	69	6	0	10
LUZP1	2404	3620	740	1511	1770	2576
LUZP2	21	98	45	84	68	50
LVRN	0	0	0	11	0	3
LXN	618	476	235	337	0	381
LY6D	170	0	64	0	0	0
LY6E	2837	390	1058	243	1212	1235
LY6G5B	135	779	285	487	215	405
LY6G5C	24	404	115	206	474	251
LY6G6E	10	8	3	6	5	4
LY6K	0	16	4	11	18	15
LY75	264	1312	939	995	131	804
LY75-CD302	0	44	136	2	0	0
LY86	12	22	0	30	0	30
LY9	4438	7829	3646	3408	1559	4717
LY96	93	305	110	156	209	142
LYAR	421	595	235	252	203	335
LYG1	129	73	44	51	0	32
LYG2	0	69	84	64	1	14
LYL1	29	108	72	79	65	105
LYN	595	3210	679	1773	3092	1593
LYNX1	113	1	29	1	0	11
LYNX1-SLURP2	0	0	10	0	0	1
LYPD2	0	0	44	1	0	0
LYPD3	447	47	314	107	0	51
LYPD5	58	217	152	151	118	162
LYPD9P	6	11	9	6	4	13
LYPLA1	3018	4738	2371	2524	393	3052
LYPLA2	3647	3045	2057	1792	2053	2253
LYPLAL1	450	486	128	372	1	282
LYRM1	572	1221	333	740	85	652
LYRM2	2263	4637	2228	2636	819	2799
LYRM4	1462	2059	1300	1389	598	1180
LYRM7	3978	4723	1457	2635	1613	2378
LYRM9	299	575	1235	543	584	310
LYSMD1	54	106	131	111	61	101
LYSMD2	33	237	82	136	1	147
LYSMD3	807	848	335	679	8	1021
LYSMD4	0	254	133	54	106	113
LYST	926	2624	1084	1569	341	1379
LYZ	212	660	181	399	5809	1300
LZIC	1146	1299	169	764	350	588
LZTFL1	58	1136	191	888	731	1553
LZTR1	0	337	469	244	8	228
LZTS1	55	229	69	128	48	98
LZTS2	72	65	42	66	0	106
M1AP	4	23	116	32	2	25
M6PR	10883	12100	3390	6921	7253	8461
MAATS1	0	15	47	20	8	78
MAB21L3	22	52	47	33	22	25
MAB21L4	33	28	86	22	22	35
MACC1	349	939	789	1065	66	444
MACF1	1493	13645	8187	8358	5167	11396
MACIR	0	24	0	12	84	47
MACO1	364	661	248	258	0	251
MACROD1	0	1	18	6	0	0
MACROD2	67	149	85	88	54	85
MACROH2A1	3308	6979	2262	3178	745	4747
MACROH2A2	0	27	142	11	192	12
MAD1L1	235	298	439	95	4	195
MAD2L1	304	507	433	381	70	330
MAD2L1BP	843	1176	266	814	683	770
MAD2L2	466	171	20	74	1331	149
MADCAM1	0	15	0	0	0	0
MADD	993	1214	496	1032	7	1685
MAEA	907	1334	575	583	1441	1108
MAEL	5	15	20	12	9	23
MAF	1078	2937	544	995	929	2481
MAF1	123	303	224	205	215	238
MAFB	0	8	0	0	0	11
MAFF	220	1415	208	466	109	874
MAFG	114	188	270	70	80	113
MAFIP	11	279	136	106	0	19
MAFK	0	23	3	12	0	19
MAG	0	27	0	0	0	0
MAGEA10	63	110	72	69	46	77
MAGEB10	16	54	26	38	10	27
MAGEB17	0	9	0	2	0	0
MAGED1	1410	2047	1486	1332	480	1177
MAGED2	4719	5511	4333	4029	1670	4210
MAGEE1	142	180	120	105	1152	137
MAGEF1	138	136	213	120	0	229
MAGEH1	358	544	473	560	428	510
MAGI1	1	4	2	2	0	1
MAGI2	70	178	78	122	87	105
MAGI3	0	127	37	46	1	120
MAGIX	41	130	64	90	20	99
MAGOH	1017	2033	843	983	610	1027
MAGOH2P	0	1	0	7	0	5
MAGOHB	882	1454	455	958	633	895
MAGT1	3481	5871	2472	3987	988	3603
MAIP1	563	274	69	164	781	216
MAK	13	268	62	128	240	100
MAK16	533	1272	867	723	207	890
MAL	5	38	462	9	0	9
MAL2	0	13	2	0	0	0
MALL	13	40	165	40	10	24
MALRD1	0	10	94	23	0	16
MALSU1	104	89	60	38	482	134
MALT1	143	117	294	105	155	97
MAMDC2	0	0	0	14	1	0
MAMDC4	14	25	11	14	15	26
MAML1	224	413	223	213	134	354
MAML2	976	1623	1243	1172	1119	1850
MAML3	23	228	519	230	29	449
MAMLD1	9	22	4	14	1	10
MAMSTR	2	188	90	104	0	105
MAN1A1	1755	2463	716	1162	686	1570
MAN1A2	1077	1172	531	762	4	887
MAN1B1	2746	2094	374	846	434	1262
MAN1C1	1552	872	1232	705	1218	970
MAN2A1	874	1768	725	748	1159	909
MAN2A2	382	2088	1037	1064	35	934
MAN2B1	19	351	245	159	371	163
