GeneName	SRX5797708	SRX5797709	SRX5797712	SRX5797713	SRX5797716	SRX5797717	SRR4290846	SRR4290852	SRR4290853	SRR4290854
NME9	20	72	6	18	1	17	140	215	181	160
NMI	967	2125	727	914	650	1052	312	445	256	619
NMNAT1	416	1710	1012	994	373	793	1185	1078	857	1080
NMNAT2	4	1	3	0	3	7	27	11	26	26
NMNAT3	4852	14720	8815	9596	5350	9434	20214	21655	16567	22005
NMRAL1	365	941	267	331	674	629	440	387	461	373
NMRK1	661	1716	629	864	542	1032	417	364	103	109
NMT1	1614	2387	545	803	2233	1698	693	1084	4539	3115
NMT2	1859	2617	1929	1669	845	1902	2170	2082	1476	1806
NMUR1	45	476	172	256	792	368	91	101	61	102
NNAT	0	0	1	0	0	0	1	0	42	0
NNMT	4	3	2	6	3	14	44	6	37	5
NNT	1559	1720	2381	1471	104	1877	1160	1521	1669	1385
NOA1	283	612	336	431	102	436	594	567	1043	913
NOB1	2106	2572	965	1583	1986	1535	458	528	2728	2348
NOC2L	1364	1742	1903	1135	123	1022	683	551	2138	1571
NOC2LP1	25	17	2	1	0	15	2	2	15	10
NOC3L	1214	1246	613	697	169	672	125	187	790	856
NOC4L	132	89	71	57	120	51	156	208	696	666
NOCT	253	516	321	318	169	315	1452	1148	1052	1622
NOD1	504	561	761	523	72	527	250	186	114	51
NOD2	48	393	184	281	1441	485	279	337	126	309
NODAL	0	4	0	6	0	13	24	42	8	15
NOG	0	10	46	15	53	31	141	248	0	3
NOL10	1659	1051	524	575	36	629	493	401	2939	2612
NOL11	1393	1849	1408	1076	133	1262	1044	1058	2198	2458
NOL12	1138	1345	643	690	1132	874	400	324	1343	876
NOL3	53	104	63	73	73	74	51	121	81	100
NOL4L	3618	5159	4088	3633	3221	5309	9531	10726	1575	1285
NOL6	2095	1083	1009	706	542	779	1415	818	3905	3077
NOL7	493	329	38	201	334	228	1027	950	9935	7701
NOL8	1178	3785	1784	1918	709	1959	1220	1696	3887	3749
NOL8P1	0	2	16	13	0	0	0	0	0	6
NOL9	1845	3622	1868	2188	1330	1894	3320	4059	5484	4914
NOLC1	1365	4572	1978	2042	1400	2465	2080	2330	56655	41476
NOM1	243	338	141	233	18	192	1151	898	2825	3178
NOMO1	374	1037	278	650	630	391	952	825	3248	3420
NOMO2	920	1507	550	602	0	742	1261	1547	4272	3662
NOMO3	310	719	187	724	89	531	664	741	1522	1594
NONO	9665	13497	6684	8015	4430	9361	10085	9077	27395	22727
NONOP2	5	23	39	65	0	47	25	30	202	101
NOP10	3480	5327	1754	2355	1851	2656	123	134	1985	1295
NOP14	325	671	624	325	42	422	687	421	5238	3827
NOP16	744	1596	774	943	647	916	364	429	7618	6431
NOP2	273	2353	1261	1125	47	1470	453	182	936	1091
NOP53	766	1255	756	678	254	654	6231	4695	2070	1995
NOP56	1966	7315	2589	3303	1684	4249	1404	1200	10851	7648
NOP56P1	0	0	0	0	0	0	0	13	3	126
NOP56P3	0	0	0	9	0	3	0	3	13	37
NOP58	1811	6608	2836	3470	1183	3506	1436	1178	5812	5807
NOP9	121	345	298	128	1	301	1408	1001	3368	2200
NOS1	91	230	108	139	102	123	235	215	233	305
NOS1AP	0	24	0	0	0	0	0	0	0	0
NOS2P1	9	14	9	14	6	8	58	37	32	38
