GeneName	SRX5797708	SRX5797709	SRX5797712	SRX5797713	SRX5797716	SRX5797717	SRR4290846	SRR4290852	SRR4290853	SRR4290854
AC118549.1	701	1103	403	778	274	963	1279	1196	1385	1646
AC118553.2	55	307	111	141	244	139	359	271	267	385
AC118758.1	1	1	1	7	6	3	9	9	2	11
AC119396.1	0	0	0	4	0	1	705	350	21	26
AC119751.3	1	2	1	2	6	0	0	0	0	0
AC119751.4	0	3	1	2	0	2	1	7	0	0
AC119751.5	0	0	0	0	0	2	1	7	0	6
AC120036.1	0	2	0	1	0	1	38	52	22	35
AC120057.2	0	0	220	287	0	178	0	1	0	0
AC120114.4	99	121	78	50	0	74	0	9	27	16
AC121251.1	0	0	0	0	0	0	1	0	9	16
AC121334.1	1	2	0	1	3	0	3	4	0	0
AC121758.2	67	142	166	99	47	82	297	293	233	292
AC122713.1	1	5	0	4	0	0	0	0	0	0
AC122714.1	0	0	0	0	0	0	3	50	2	20
AC122718.1	34	46	63	15	0	41	7	7	16	20
AC122718.2	4	0	0	10	0	13	48	11	7	50
AC124242.2	18	50	29	20	32	39	160	139	157	213
AC124283.4	0	7	0	7	0	2	2	12	2	3
AC124312.1	93	200	108	194	183	147	258	166	72	63
AC124856.1	4	1	5	2	1	0	1	1	5	4
AC124916.1	4	4	4	3	1	1	0	1	0	1
AC124916.2	0	3	0	9	0	0	1	9	1	2
AC124944.1	0	0	0	2	0	2	5	0	0	4
AC124944.2	203	112	179	80	9	56	484	519	943	727
AC124947.2	19	90	84	67	62	44	50	41	51	94
AC125611.2	0	2	0	5	2	7	0	2	3	2
AC125612.1	0	4	0	0	0	2	23	14	9	22
AC125807.1	6	19	11	10	4	10	7	6	5	2
AC126120.1	3	1	0	0	0	0	0	2	4	3
AC126124.1	0	4	12	7	0	1	1	1	2	5
AC126124.2	0	3	0	4	0	0	4	1	2	1
AC126283.2	0	0	0	3	10	0	0	0	0	0
AC126389.1	1	28	1	20	0	10	13	31	9	10
AC126603.1	3	21	14	11	8	4	32	20	18	32
AC126615.1	7	10	4	9	4	9	1	0	3	1
AC126615.2	0	1	0	1	0	10	0	0	0	1
AC126755.1	0	6	4	14	332	2	2898	2439	4385	1720
AC126773.5	0	0	0	0	0	0	1	0	5	5
AC127024.1	2	0	4	0	0	3	0	0	2	1
AC127032.2	0	0	7	0	0	0	0	4	0	0
AC127032.3	0	1	0	11	0	0	0	0	0	0
AC127070.3	2	1	1	0	0	6	0	1	0	1
AC127502.1	103	192	191	82	81	90	57	117	15	53
AC127502.3	5	57	18	18	0	5	0	22	0	15
AC127526.3	0	5	0	2	0	2	1	2	3	0
AC129492.3	213	104	147	0	170	27	0	0	0	0
AC129492.6	0	0	0	0	0	1	12	0	2	0
AC130472.1	8	19	24	32	0	1	2	8	16	13
AC130689.1	0	0	7	0	0	0	0	0	5	8
AC130709.1	0	0	0	0	0	0	1	16	0	4
AC131056.2	0	0	1	0	0	0	0	0	236	0
AC131056.7	0	0	0	0	21	0	0	0	0	0
AC131160.1	0	4	0	12	0	16	11	12	19	18
AC131206.1	215	41	2	56	0	28	30	2	86	51
AC131235.2	19	20	6	15	1	16	2	3	7	9
AC131392.1	198	84	38	39	0	40	15	14	0	7
AC131392.2	44	98	98	71	0	33	43	34	45	98
AC132008.1	0	0	0	0	0	0	9	7	2	1
AC132008.2	75	420	510	278	137	486	571	693	213	286
AC132812.1	0	237	5	47	347	99	18	58	1	12
AC132825.1	7	9	5	7	1037	1635	6	5	8	12
AC132825.4	0	1	0	1	0	1	21	11	16	26
AC132825.5	3	1	0	0	1	0	1	0	3	1
AC132942.1	17	41	13	30	6	24	7	2	2	10
AC133435.1	101	28	36	27	3	32	2	6	9	3
AC133473.1	0	3	0	1	0	1	84	74	35	33
AC133539.1	8	2	3	4	3	0	1	3	3	1
AC133552.1	31	75	112	61	6	57	78	90	134	97
AC133552.2	29	77	8	47	0	57	14	1	6	0
AC133552.3	0	0	0	3	0	2	10	17	4	8
AC133552.4	0	0	1	2	0	0	23	10	3	6
AC133555.3	0	9	0	0	0	1	1	1	1	3
AC133555.4	0	0	0	15	29	0	0	0	106	52
AC133963.1	0	0	0	0	0	6	11	0	1	0
AC134050.1	0	1	1	2	0	0	6	4	16	48
AC134349.3	0	0	0	16	0	4	17	52	6	54
AC134669.1	1024	988	393	430	217	712	45	51	8	2
AC134878.2	0	12	1	3	0	0	4	0	5	0
AC134879.2	0	0	0	13	0	2	0	0	0	0
AC134981.1	0	10	0	21	2	10	0	9	21	15
AC135050.2	0	7	1	3	0	0	47	54	10	3
AC135068.2	0	0	20	17	148	0	2	0	0	0
AC135068.9	2	9	81	11	59	7	6	8	153	17
AC135178.3	0	0	0	0	0	0	18	0	29	0
AC135279.2	0	4	0	1	0	3	2	5	33	39
AC135352.1	1	4	3	0	0	8	2	0	0	3
AC135506.1	0	11	0	18	0	23	142	60	13	1
AC135507.2	0	21	32	21	0	14	1	4	4	7
AC135628.1	0	5	11	6	0	1	0	1	0	1
AC135721.1	0	4	0	11	0	3	9	12	0	4
AC135721.2	12	4	0	2	9	18	1	5	2	2
AC135983.3	559	404	146	216	126	235	1025	1050	391	333
AC135983.4	0	76	86	0	0	54	0	25	8	39
AC135983.5	0	50	0	31	0	0	8	120	30	105
AC135983.6	64	57	17	0	0	43	5	9	1	2
AC136352.8	0	3	68	12	0	12	23	129	6	3
AC136475.10	0	2	5	5	0	8	13	15	25	67
AC136616.2	0	8	35	32	6	12	0	0	0	0
AC136618.2	0	0	0	0	0	0	0	2	6	8
AC136624.3	0	0	0	0	0	0	0	2	5	8
AC136628.3	0	23	39	18	32	13	1	4	1	0
AC136632.1	15	10	8	8	0	5	23	10	18	26
AC136632.2	36	14	19	14	29	14	6	3	23	15
AC136687.2	29	79	54	51	93	38	1088	1031	583	549
AC136944.3	8	64	16	36	44	57	31	18	21	42
AC137499.1	17	35	0	0	0	0	0	0	0	0
AC137630.5	0	0	0	0	0	2	9	28	20	40
AC137834.1	0	0	0	0	0	0	389	405	13	97
AC138035.3	85	0	0	0	0	0	0	0	0	0
AC138207.3	1	1	1	2	0	6	0	0	2	0
AC138207.6	37	23	4	16	0	11	30	48	12	14
AC138207.8	248	178	294	97	33	101	49	48	46	40
AC138207.9	26	29	10	39	6	43	81	76	68	89
AC138356.2	0	24	0	36	0	20	6	1	2	2
AC138393.1	62	170	34	84	40	77	503	541	293	444
AC138409.1	269	266	236	261	0	275	176	102	139	167
AC138409.2	1046	621	506	372	3	626	500	499	444	417
AC138649.2	0	0	0	8	1	7	2	0	0	0
AC138696.1	1	0	0	0	0	0	0	26	0	0
AC138749.6	0	0	0	4	0	2	17	6	18	21
AC138811.2	5495	6240	1924	2910	1838	2751	336	292	601	506
AC138832.2	0	0	0	1	0	3	9	8	12	16
AC138866.2	0	0	0	0	0	19	0	0	0	0
AC138894.1	105	144	81	44	18	47	340	254	217	355
AC138907.5	0	4	2	4	0	7	0	1	1	0
AC138932.1	0	5	5	0	0	5	3	0	12	0
AC138951.1	173	120	0	59	0	39	12	11	15	31
AC138969.1	88	479	309	340	155	418	983	819	1418	1737
AC138969.3	0	0	19	14	0	0	0	0	0	0
AC139103.1	0	0	0	4	0	0	0	0	6	1
AC139143.1	17	14	12	8	3	13	1	1	1	2
AC139256.2	24	1432	1694	1147	1207	1642	1757	1984	1413	2834
AC139451.1	0	28	26	7	0	10	46	62	36	59
AC139491.5	31	66	44	49	30	40	341	189	76	177
AC139491.6	0	0	0	0	0	1	12	2	0	0
AC139491.7	12	34	36	42	24	32	355	282	123	144
AC139494.1	1455	2710	1349	1439	1189	1500	1605	2618	1425	2077
AC139495.1	44	314	78	182	419	268	24	21	12	22
AC139495.2	29	77	173	123	100	230	26	155	17	30
AC139677.2	0	908	762	132	502	82	416	1191	113	561
AC139677.4	0	45	43	37	0	0	0	0	0	2
AC139713.1	92	0	0	0	0	0	0	0	0	0
AC139769.1	72	96	46	65	10	99	124	107	54	41
AC139795.1	66	85	31	38	0	29	474	699	231	326
AC140076.1	0	3	3	9	0	3	22	18	11	10
AC140479.2	0	0	0	0	0	0	0	0	6	9
AC141272.1	0	8	0	15	2	0	0	0	0	0
AC141557.1	0	6	0	0	0	0	0	9	17	4
AC141557.2	0	6	4	0	0	0	0	0	1	0
AC141586.1	530	826	636	424	1422	546	312	298	870	812
AC142381.1	7	3	0	10	0	2	0	0	0	0
AC142391.1	0	4	0	0	0	0	0	0	0	6
AC144530.1	106	36	6	37	164	7	36	21	39	21
AC144568.1	0	4	2	1	0	1	1	0	0	1
AC144573.1	37	64	49	36	18	50	236	255	125	181
AC145029.2	1	5	227	128	92	62	0	0	0	0
AC145212.1	1	101	95	23	0	8	235	8	394	16
AC145285.1	19	56	12	33	11	35	49	69	49	81
AC145285.5	0	0	0	0	0	0	5	5	9	9
AC146335.1	0	0	0	0	0	85	0	0	0	25
AC146507.1	0	8	0	2	0	2	0	0	0	0
AC146507.2	9	172	21	65	56	211	28	21	13	15
AC183084.2	0	11	0	0	0	0	158	128	86	89
AC209007.1	23	17	7	15	9	18	11	2	7	8
AC211429.2	0	0	0	0	0	5	3	2	5	10
AC211476.10	37	0	0	0	0	0	0	0	0	0
AC211476.3	0	1	2	0	0	7	49	0	0	0
AC211476.5	0	58	48	25	0	0	14	0	5	7
AC211476.8	0	22	47	0	3	9	0	847	0	0
AC211485.1	16	82	44	60	41	51	43	42	44	69
AC211486.1	0	23	32	10	0	15	135	321	141	160
AC213203.1	0	0	22	0	0	1	0	0	0	0
AC217769.1	9	0	19	0	9	3	0	38	7	22
AC229888.1	32	5	0	1	0	0	16	8	1	3
AC231533.2	0	0	0	0	0	0	6	0	4	2
AC231657.3	0	0	0	0	0	0	0	0	31	0
AC233280.16	0	1	0	15	0	1	0	0	0	2
AC233282.1	0	1	0	0	0	0	83	32	15	8
AC233290.1	0	0	7	0	0	5	0	1	0	1
AC233755.1	2	14	215	76	758	42	0	22	0	9
AC233755.2	288	11	0	15	0	13	0	0	0	0
AC233964.1	46	17	13	10	1	15	2	6	6	5
AC233968.1	0	15	0	48	0	49	0	0	0	0
AC233992.2	0	2	0	1	2	1	7	15	92	24
AC234301.1	0	6	325	162	30	71	3	1	0	5
AC234301.3	0	39	0	76	0	2	2	0	0	0
AC234635.2	0	0	0	0	0	0	4	2	0	7
AC234635.3	0	0	0	0	0	0	40	39	29	45
AC234644.1	0	0	0	0	0	4	0	0	18	21
AC234778.1	0	6	0	3	1	3	0	1	1	0
AC234781.5	0	10	0	0	0	7	0	0	6	0
AC234782.1	0	12	0	1	0	12	1	2	2	3
AC234782.2	0	4	0	8	0	18	24	12	4	9
AC236040.3	0	102	42	36	0	65	48	5	11	0
AC237298.1	0	13	9	10	0	7	5	6	6	6
AC239367.3	0	0	0	0	0	0	10	3	0	0
AC239600.2	1	0	1	0	1	2	0	0	3	2
AC239618.2	0	5	0	3	0	3	0	1	0	0
AC239798.1	0	2	0	8	0	0	1	0	0	0
AC239800.3	0	11	0	3	0	17	20	16	13	9
AC239804.2	0	0	0	0	0	0	7	4	1	5
AC239859.1	0	3	17	1	0	0	0	0	0	1
AC240274.1	0	198	163	175	0	325	291	465	171	185
AC241377.3	2	9	1	2	0	0	1	3	0	0
AC241377.5	7	34	10	9	55	16	5	44	8	6
AC241520.1	0	2	0	8	0	2	10	6	6	9
AC241584.1	51	28	23	8	0	20	0	0	2	6
AC241585.3	0	8	0	0	0	0	0	15	0	1
AC241640.1	0	0	0	0	0	0	1	2	6	12
AC241640.2	0	56	0	0	0	0	0	0	0	0
AC241952.2	103	201	171	110	0	191	2865	2657	276	311
AC242308.2	1	3	0	0	0	0	13	0	32	0
AC242376.2	120	492	426	322	234	234	777	1152	485	711
AC242498.1	0	0	0	0	0	8	0	3	0	0
AC242528.1	0	0	0	0	45	0	0	0	0	0
AC242842.2	0	0	0	9	0	0	43	35	16	0
AC242842.3	38	176	64	172	119	125	113	172	40	79
AC243428.1	0	0	0	0	0	0	6	8	0	2
AC243547.3	113	227	89	145	299	132	380	442	312	288
AC243654.2	1	55	0	36	295	50	6	7	26	39
AC243660.7	0	0	0	0	0	5	1	14	0	5
AC243733.1	0	5	6	4	3	6	6	7	10	8
AC243772.3	22	24	13	17	0	32	130	206	18	18
AC243791.2	0	11	0	8	0	14	16	157	6	18
AC243791.3	0	0	0	0	0	0	98	87	85	191
AC243807.2	0	0	52	43	0	37	0	0	0	0
AC243829.3	0	0	0	0	7	11	0	0	0	0
AC243837.2	0	0	0	0	0	0	42	0	40	39
AC243837.4	0	0	0	0	0	0	18	79	0	0
AC243919.1	540	1231	560	857	436	669	51	4	48	26
AC243922.2	0	0	0	0	0	33	0	0	0	0
AC243960.2	5	0	2	2	0	3	3	0	8	2
AC244033.1	0	4	1	5	0	1	1	1	1	1
AC244034.1	2	13	0	4	0	2	26	36	13	3
AC244093.1	0	28	0	3	0	0	6	1	26	36
AC244093.2	0	9	0	13	0	6	16	21	84	63
AC244131.3	1	0	0	0	0	1	15	34	10	18
AC244197.3	0	210	349	132	281	182	181	98	40	49
AC244258.1	5	28	17	17	2	24	42	31	61	67
AC244260.1	0	8	12	21	3	49	5	53	14	9
AC244394.1	0	5	6	0	0	1	0	9	0	0
AC244452.3	27	81	30	59	13	37	81	110	99	151
AC244489.1	0	0	0	4	0	0	8	0	9	0
AC244517.3	1	4	0	2	0	3	1	3	8	1
AC244636.2	3	5	3	1	1	1	9	16	9	15
AC244669.1	400	1352	479	460	261	1086	620	608	268	312
AC245049.2	144	151	228	105	12	101	504	1081	340	1009
AC245052.2	0	0	0	5	0	1	3	0	4	4
AC245060.4	409	1169	380	611	438	804	120	73	230	298
AC245078.1	28	88	59	63	0	0	61	9	28	0
AC245078.3	0	15	0	2	0	11	69	45	68	59
AC245100.2	1	6	0	0	0	3	115	90	27	37
AC245100.4	40	351	198	233	72	295	820	694	294	254
AC245297.1	0	0	0	0	0	2	1	0	3	8
AC245452.1	0	0	0	0	0	49	0	0	0	0
AC245594.1	6	2	2	5	0	2	21	7	21	14
AC245690.1	0	10	0	0	0	0	0	0	0	8
AC245884.3	0	1	0	0	0	0	7	11	1	3
AC246785.2	59	1	0	4	0	6	7	15	0	17
AC246787.1	3	6	1	1	0	0	5	1	2	3
AC253572.1	197	46	0	16	0	6	2	6	2	32
AC254562.1	0	76	20	55	0	34	8	13	0	16
AC254813.1	268	318	113	285	0	138	336	844	282	846
AC254945.1	73	170	29	53	78	72	0	0	0	0
AC254960.2	86	51	0	49	0	0	9	13	0	0
AC255406.1	0	0	0	1	0	0	0	0	0	11
AC256203.1	0	0	0	0	0	0	51	44	0	0
AC256203.2	0	0	44	21	6	0	0	36	55	43
AC256236.2	39	841	634	687	519	830	286	299	366	646
AC270107.1	0	0	17	40	0	0	0	9	0	0
AC270107.9	61	191	30	83	21	84	18	2	22	7
AC270289.1	0	3	12	4	0	12	4	3	0	0
AC270293.1	0	0	0	4	0	0	0	9	1	0
AC275401.1	0	9	8	4	0	3	22	11	8	2
AC275401.4	0	0	0	0	0	0	1	1	9	10
AC275565.2	0	0	0	2	0	1	14	22	5	2
ACAA1	366	1215	585	613	11	387	660	424	512	699
ACAA2	1375	3418	648	1033	623	1206	665	1150	2207	1587
ACACA	429	368	494	248	72	355	1210	1039	2296	3094
ACACB	214	559	623	328	924	474	2709	1724	1079	1118
ACAD10	343	1058	757	687	39	898	369	495	254	348
ACAD11	260	533	363	426	12	470	760	422	326	227
ACAD8	19	819	941	375	243	639	1078	1340	1193	978
ACAD9	1804	1207	594	636	375	734	377	380	690	778
ACADL	4	13	3	4	1	2	19	26	21	31
ACADM	1293	2104	812	1177	1548	1348	431	417	1239	782
ACADS	259	30	109	11	2	145	126	46	101	115
ACADSB	148	1310	426	786	1645	951	1070	1215	1198	892
ACADVL	317	1274	488	538	66	681	1397	1302	2300	1518
ACAN	14	59	30	34	14	38	72	72	142	168
ACAP1	2239	9409	4472	4015	2415	4376	3765	4403	944	855
ACAP2	1304	1145	1133	701	68	964	4426	4910	2932	3013
ACAP3	0	23	13	4	2	5	137	130	125	324
ACAT1	817	882	453	409	58	481	473	627	542	689
ACAT2	2231	3589	743	1632	817	2123	489	280	744	473
ACBD3	81	335	306	473	0	217	1102	706	2053	1701
ACBD4	196	229	116	184	28	131	251	412	132	125
ACBD5	940	943	393	521	380	714	844	628	983	729
ACBD6	937	566	584	329	144	351	740	589	1016	833
ACBD7	53	149	67	106	58	88	1643	1426	592	889
ACCS	1	1490	600	931	0	480	298	240	71	48
ACD	540	859	1157	484	374	686	471	501	1409	732
ACE	30	39	24	46	50	40	172	229	69	121
ACE2	0	0	28	0	0	0	0	0	0	0
ACER1	38	172	170	171	45	169	158	186	61	114
ACER2	0	0	0	1	0	8	50	42	75	59
ACER3	655	707	180	550	45	490	323	374	559	504
ACIN1	762	1316	419	741	730	858	4342	4553	6414	6706
ACKR2	86	339	167	185	301	170	141	134	139	189
ACKR3	127	158	61	134	0	102	117	194	12	119
ACKR4	0	9	0	1	0	3	66	17	15	21
ACLY	1531	4221	2574	2433	2520	3593	691	954	4405	4581
ACMSD	0	2	0	1	0	6	22	4	1	12
ACO1	982	1256	1159	728	6	904	309	533	500	456
ACO2	3018	5836	2785	3245	1808	4330	359	422	1370	895
ACOT1	0	52	78	77	9	104	30	22	45	54
ACOT11	241	773	465	586	358	459	1185	1136	955	1336
ACOT13	719	2342	963	1307	1081	952	393	493	2306	1367
ACOT2	19	516	259	295	288	264	310	248	171	187
ACOT4	13	69	2	44	2	25	13	21	39	102
ACOT7	5182	3459	2131	1475	1303	1598	207	193	2997	1720
ACOT8	717	1196	603	725	8	752	176	150	235	91
ACOT9	1051	2816	1185	1626	119	1941	887	851	1178	1084
ACOX1	3029	2993	376	2042	1326	1793	631	701	742	1037
ACOX2	0	7	0	0	0	2	0	2	1	4
ACOX3	608	419	233	323	0	472	142	113	427	313
ACOXL	14	87	41	54	29	34	286	218	153	196
ACP1	2770	3926	1911	2106	1448	2352	848	614	1647	1483
ACP2	1902	1575	389	1107	518	1110	155	128	247	352
ACP3	18	32	12	23	18	18	28	37	41	86
ACP4	0	0	0	3	71	0	34	21	28	29
ACP5	404	168	98	49	2	106	211	106	6	107
ACP6	787	2401	845	912	1928	437	299	385	380	263
ACP7	31	121	46	72	38	68	167	171	93	188
ACRBP	110	6	43	19	0	11	43	52	13	3
ACRV1	0	6	0	1	0	4	1	7	78	92
ACSBG1	180	239	84	96	8	153	499	567	362	367
ACSBG2	0	4	0	0	0	9	16	1	0	46
ACSF2	38	142	116	116	41	143	70	92	62	44
ACSF3	161	986	981	588	164	1218	3042	2315	2318	2190
ACSL1	11	120	416	87	724	151	266	357	1744	1039
ACSL3	564	311	321	248	66	230	794	561	1958	1260
ACSL4	510	546	441	445	293	619	641	771	3052	3226
ACSL5	999	2447	1244	1342	591	1110	772	1237	1651	1700
ACSL6	97	63	32	59	42	51	1398	1199	356	811
ACSM1	0	0	35	11	0	4	10	0	1	0
ACSM2A	86	141	87	111	24	62	358	349	318	298
ACSM2B	4	211	9	26	152	112	86	87	58	89
ACSM3	200	121	20	117	22	55	83	93	82	54
ACSM5	2	5	0	1	0	4	4	1	3	9
ACSM6	1	8	1	5	2	3	13	6	18	12
ACSS1	276	316	128	213	235	277	819	1079	323	392
ACSS2	220	49	91	33	68	64	345	348	299	141
ACSS3	6	5	3	3	8	1	61	39	34	55
ACTA1	9	8	0	3	0	4	3	2	11	9
ACTA2	173	174	104	129	80	159	256	264	176	346
ACTB	78040	55795	24940	455	28902	58590	30495	36836	84022	69624
ACTBP1	14	23	15	9	10	23	1	2	5	3
ACTBP11	53	37	16	10	41	28	4	0	9	1
ACTBP12	2	2	0	2	1	2	0	0	1	0
ACTBP13	21	40	20	41	10	15	3	5	4	13
ACTBP14	25	12	7	4	3	13	0	2	4	5
ACTBP2	75	38	12	11	7	26	3	2	11	7
ACTBP6	8	1	3	1	0	5	0	0	1	2
ACTBP7	30	14	32	11	13	12	1	2	5	1
ACTBP8	27	24	3	6	11	17	0	3	5	6
ACTBP9	68	27	19	17	8	23	1	2	9	3
ACTC1	4	2	1	1	3	2	0	0	0	1
ACTG1	36104	33743	14884	21415	11975	21392	4687	4752	11377	9998
ACTG1P1	14	70	34	32	4	55	0	1	1	2
ACTG1P10	79	254	208	180	6	57	24	16	17	19
ACTG1P12	6	9	3	1	1	4	0	3	2	1
ACTG1P14	53	404	78	145	313	162	33	63	49	61
ACTG1P15	17	11	4	4	5	13	1	1	3	1
ACTG1P16	4	4	0	0	3	3	2	0	0	0
ACTG1P17	28	91	53	68	24	56	184	104	58	71
ACTG1P19	43	11	13	9	8	17	0	1	2	3
ACTG1P2	266	237	8	6	4	7	1	15	3	50
ACTG1P20	6	49	81	43	199	29	19	15	2	17
ACTG1P21	18	18	0	6	6	18	0	0	3	3
ACTG1P22	0	0	0	0	0	0	13	0	0	0
ACTG1P23	20	9	8	3	4	14	0	0	4	2
ACTG1P24	8	16	1	1	1	19	0	0	0	3
ACTG1P3	1	9	0	7	1	9	49	37	101	44
ACTG1P9	127	160	76	103	114	101	170	169	144	183
ACTG2	22	30	14	7	3	12	204	230	161	272
ACTL10	12	6	0	3	0	10	12	5	35	53
ACTL6A	1490	1505	530	658	618	1130	670	399	2874	1470
ACTL7A	0	0	0	0	0	0	2	0	21	0
ACTN1	85	280	617	251	83	141	4636	2204	1637	1687
ACTN2	0	0	0	0	0	0	0	0	10	1
ACTN4	1154	1249	684	735	518	1291	4735	7405	14776	16225
ACTR10	2558	2904	1155	1663	1345	1875	637	649	663	816
ACTR1A	1434	5279	1791	3135	1551	3453	816	667	2341	1951
ACTR1AP1	0	0	0	0	0	0	0	0	9	1
ACTR1B	1071	1012	421	709	24	691	1677	2039	2492	2141
ACTR2	9477	10250	4976	6337	3584	8393	6678	9351	14743	13615
ACTR3	8360	8451	3666	4218	2463	5231	6351	6369	17659	16826
ACTR3B	50	340	367	134	30	151	896	1124	1615	1713
ACTR3BP4	0	0	0	0	0	0	11	11	8	1
ACTR3C	306	225	128	192	5	162	142	286	314	623
ACTR5	131	184	0	72	136	100	142	107	243	259
ACTR6	710	1479	445	726	673	683	230	283	345	292
ACTR8	2654	998	692	969	890	934	171	463	614	825
ACTRT3	0	13	0	8	0	9	0	0	15	7
ACVR1	394	620	244	338	282	212	467	747	537	459
ACVR1B	170	277	199	113	291	110	442	288	957	671
ACVR1C	0	12	0	9	0	1	457	315	61	141
ACVR2A	840	1743	1574	2709	1149	1441	502	495	221	349
ACVR2B	552	281	432	334	62	215	335	512	859	805
ACVRL1	43	117	15	22	13	8	20	23	14	33
ACY1	388	897	481	493	479	458	536	218	896	750
ACY3	0	1	0	33	0	3	0	5	0	7
ACYP1	184	505	158	229	86	324	126	130	388	256
ACYP2	372	454	259	208	33	372	922	923	549	810
AD000091.1	18	12	7	0	0	0	0	0	0	0
AD000671.1	115	301	125	202	0	164	0	0	0	0
AD000671.2	590	614	236	102	86	327	73	75	0	42
ADA	4	200	104	148	3	78	351	171	125	128
ADA2	957	2501	1245	1552	1464	4182	3544	3013	412	539
ADAD1	0	12	1	5	16	6	0	0	35	27
ADAD2	4	108	23	51	1	27	17	20	11	12
ADAL	135	450	327	413	12	261	167	259	397	388
ADAM10	6187	9151	6126	6062	2653	10608	15180	14786	12844	13410
ADAM11	0	5	0	9	0	0	2	14	2	1
ADAM12	524	537	560	485	685	360	38	322	19	95
ADAM15	6	95	61	16	29	31	449	188	440	481
ADAM17	258	1359	797	882	151	898	1608	1239	1903	2532
ADAM19	5799	13134	3462	5076	6297	8798	1717	3154	1583	3280
ADAM1B	12	52	67	32	17	22	292	391	84	127
ADAM20	0	0	0	6	0	7	8	6	20	16
ADAM20P1	0	3	0	7	0	5	15	8	4	15
ADAM21	0	2	0	0	0	0	9	0	0	5
ADAM22	216	110	10	36	5	53	378	221	354	175
ADAM23	0	0	0	0	0	0	72	192	10	94
ADAM28	241	2788	1583	1880	6274	3638	21	25	12	17
ADAM29	12	45	11	24	40	34	126	130	57	86
ADAM32	122	411	362	340	238	290	871	751	739	1040
ADAM33	3	5	10	5	5	6	5	6	11	6
ADAM3A	36	33	45	55	4	30	33	39	30	43
ADAM8	39	233	129	46	792	131	249	280	806	665
ADAM9	26	148	1564	74	201	166	18	222	251	169
ADAMTS1	29	73	43	43	23	48	72	92	90	118
ADAMTS10	85	55	59	12	4	51	107	209	3	47
ADAMTS13	0	54	3	30	0	7	3	10	7	8
ADAMTS16	21	16	20	22	18	23	26	17	11	9
ADAMTS17	2	42	96	23	0	22	277	727	352	242
ADAMTS2	16	33	18	21	15	52	38	33	31	46
ADAMTS4	211	443	305	357	315	301	678	693	716	869
ADAMTS6	36	0	0	2	0	3	81	15	27	9
ADAMTS7	1	1	0	1	0	0	13	19	2	3
ADAMTS7P1	0	0	0	1	0	1	42	5	2	47
ADAMTS7P3	0	0	0	0	0	0	4	662	748	0
ADAMTS7P4	26	55	35	36	31	42	56	54	43	30
ADAMTS8	0	15	7	7	1	14	4	10	1	0
ADAMTS9	0	2	0	9	1	6	21	17	12	20
ADAMTSL2	17	38	72	28	39	42	30	47	22	29
ADAMTSL3	547	1714	837	1128	662	1087	6301	6144	3914	5212
ADAMTSL4	8	26	3	24	1	35	199	163	54	140
ADAMTSL5	7	20	37	20	25	12	155	108	614	217
ADAP1	200	88	58	38	0	177	82	10	266	322
ADAP2	1	12	9	5	3	6	4	20	14	6
ADAR	2097	4581	2215	2868	1675	3203	10956	10485	14220	19189
ADARB1	170	66	145	30	16	48	790	846	1706	4453
ADARB2	158	1055	21	28	17	30	103	208	92	47
ADAT1	1691	1762	1264	1035	201	1018	316	647	663	657
ADAT2	302	552	328	345	13	407	1413	1086	2602	2174
ADAT3	0	0	0	0	0	3	1	70	22	11
ADCK1	598	328	100	186	0	263	143	104	186	325
ADCK2	233	292	219	129	0	122	206	209	204	127
ADCK5	1	35	175	22	417	214	95	160	229	147
ADCY1	14	59	16	38	5	39	50	104	68	106
ADCY10	0	24	0	1	0	9	0	9	0	2
ADCY10P1	23	98	42	18	4	56	182	231	132	108
ADCY2	79	114	102	117	98	79	475	426	265	355
ADCY3	963	949	1009	499	149	553	242	416	1930	1201
ADCY4	6	65	36	58	2	36	110	366	27	39
ADCY5	0	0	0	0	0	16	47	23	97	30
ADCY6	573	610	588	337	15	458	28	22	45	29
ADCY7	849	1933	654	1035	424	1185	2173	2446	1398	2008
ADCY9	18	109	75	47	35	83	585	560	676	463
ADCYAP1R1	0	2	0	0	3	0	3	3	2	0
ADD1	2205	3353	1564	2164	1094	1975	3127	3721	3792	4097
ADD2	14	140	11	33	22	37	488	146	1483	1053
ADD3	1830	3372	3617	1869	324	1934	13941	13701	2981	2223
ADGB	5	11	9	5	2	16	88	85	91	124
ADGRA2	0	159	0	144	1	72	47	22	53	3
ADGRA3	23	109	75	76	26	109	294	224	1261	1480
ADGRB1	0	0	0	0	0	1	47	8	4	1
ADGRB2	0	0	0	0	0	0	5	5	3	1
ADGRD1	2316	1580	735	1377	31	380	47	64	47	49
ADGRD2	62	209	109	117	107	129	688	645	383	493
ADGRE1	152	269	34	14	0	17	77	107	118	103
ADGRE2	37	428	262	642	116	447	175	318	328	394
ADGRE3	0	26	0	1	0	0	0	26	0	1
ADGRE4P	5	5	1	4	1	1	382	239	71	92
ADGRE5	3993	12851	5755	5574	5886	7524	5023	6675	8146	8083
ADGRF1	132	156	183	149	73	161	569	496	357	373
ADGRF2	3	10	12	4	0	0	17	27	10	21
ADGRF3	557	304	31	26	0	10	58	20	70	146
ADGRF5P1	1	0	0	24	1	7	1	1	2	0
ADGRG1	57	181	200	138	109	115	320	386	291	328
ADGRG2	125	309	182	198	132	198	598	596	538	659
