CD4_enhancer_counts_bins	Gene_Name	Mean_Gene_Expression
1	GRIK2	416.0
1	GRIN2B	13.0
1	GRN	487.0
1	GSDMD	357.75
1	GSE1	2469.5
1	GSTM5	7.0
1	GTF2F1	1849.0
1	GTF2H4	90.0
1	GTPBP10	1027.75
1	GZMH	103.75
1	HAL	14.25
1	HECTD2	95.75
1	HECW2	216.0
1	HHLA2	497.0
1	HK3	17.0
1	HLA-B	18590.0
1	HMGB3	163.5
1	HMGCS2	3.25
1	HOMER1	443.25
1	HOOK3	5126.75
1	HP1BP3	6935.75
1	HPGD	131.25
1	HRH1	112.5
1	HRK	122.75
1	HSF5	231.5
1	HSPA5	8248.75
1	HSPH1	2324.0
1	HTR1F	2.5
1	HTR2A	16.0
1	HYAL1	45.25
1	HYAL3	146.5
1	HYAL4	141.75
1	HYOU1	4651.5
1	IBA57	1215.25
1	ICAM2	754.5
1	IDE	1525.5
1	IDH2	791.75
1	IDO2	333.75
1	IFI27	73.5
1	IFT81	477.5
1	IGFL2	40.0
1	IHH	2.75
1	IL12B	10.0
1	IL17B	27.25
1	IL17RA	4278.25
1	IL1R1	1477.5
1	IL21	7.25
1	IL7	15.25
1	ILKAP	1032.5
1	IMP3	441.0
1	INAFM2	118.5
1	INHBC	9.25
1	INIP	843.75
1	IP6K1	1242.75
1	IPPK	694.25
1	ISOC1	429.0
1	ITGA10	523.25
1	ITGA3	544.25
1	ITGAM	206.5
1	ITGB3BP	141.0
1	JUP	57.0
1	KATNA1	440.0
1	KAZN	130.5
1	KBTBD8	247.0
1	KCNAB1	101.5
1	KCNE5	11.25
1	KCNJ13	184.75
1	KCNJ6	174.0
1	KCP	150.75
1	KCTD1	121.5
1	KCTD3	77.25
1	KCTD4	43.75
1	KIAA0100	5130.0
1	KIAA1191	1996.0
1	KIAA1328	16559.5
1	KIF22	1358.0
1	KIF3C	551.5
1	KIF6	377.75
1	KIF9	52.25
1	KIFC3	106.25
1	KIR3DL1	1.5
1	KIR3DX1	807.75
1	KLC1	3643.0
1	KLHL13	2.0
1	KLHL21	2300.75
1	KLRK1	527.25
1	KPNA1	1435.25
1	KPNA6	2428.75
1	KRT8	248.25
1	L3MBTL2	809.5
1	L3MBTL4	105.75
1	LACTB	604.5
1	LAPTM4A	1343.0
1	LARP1	34401.75
