CD4_ABC_H3K27ac_count_bins	Gene_Name	Mean_Gene_Expression
0	ARHGAP27	1379.0
0	ARHGAP29	191.5
0	ARHGAP30	5227.75
0	ARHGAP35	1478.0
0	ARHGAP42	4.5
0	ARHGAP6	2.75
0	ARHGAP8	122.75
0	ARHGEF10	689.5
0	ARHGEF11	374.25
0	ARHGEF12	2204.5
0	ARHGEF18	2909.25
0	ARHGEF2	2474.5
0	ARHGEF25	5.5
0	ARHGEF28	20.0
0	ARHGEF3	5602.75
0	ARHGEF37	9.5
0	ARHGEF38	184.25
0	ARHGEF39	385.75
0	ARHGEF4	180.5
0	ARHGEF40	21.75
0	ARHGEF6	4269.75
0	ARHGEF7	1922.25
0	ARHGEF9	724.0
0	ARID3B	1268.75
0	ARL10	1631.25
0	ARL11	124.5
0	ARL13A	16.25
0	ARL14EP	1008.5
0	ARL2BP	449.5
0	ARL5A	957.0
0	ARL5C	22.75
0	ARL6	115.25
0	ARL6IP5	2069.0
0	ARL8A	345.5
0	ARL9	289.25
0	ARMC10	2719.75
0	ARMC2	51.25
0	ARMC3	7.0
0	ARMC6	281.25
0	ARMC7	110.5
0	ARMC8	1907.0
0	ARMCX1	33.0
0	ARMCX2	31.25
0	ARMCX5	187.75
0	ARPC1B	1719.75
0	ARPC3	581.25
0	ARPC4	6056.0
0	ARR3	40.0
0	ARRB1	736.25
0	ARRB2	3380.0
0	ARRDC3	1620.0
0	ARSA	252.0
0	ARSB	990.0
0	ARSD	557.0
0	ARSF	13.75
0	ARSG	1103.25
0	ART3	491.25
0	ASAH2	145.25
0	ASAH2B	477.75
0	ASAP1	5155.5
0	ASAP3	56.25
0	ASB1	412.5
0	ASB11	85.0
0	ASB15	14.5
0	ASB16	196.75
0	ASB18	166.75
0	ASB2	135.25
0	ASB4	36.75
0	ASCC3	3797.0
0	ASCL2	3.0
0	ASGR1	92.25
0	ASIC1	90.25
0	ASIC3	90.75
0	ASIC4	21.5
0	ASMT	27.25
0	ASPG	23.25
0	ASPH	1034.25
0	ASPHD1	49.0
0	ASPHD2	190.75
0	ASPM	101.5
0	ASPN	65.25
0	ASTN2	5593.5
0	ASXL2	4234.5
0	ASXL3	3.25
0	ASZ1	182.0
0	ATAD1	1328.5
0	ATAD2	1140.75
0	ATAD2B	1206.5
0	ATF1	1400.25
0	ATF2	4241.5
0	ATF3	131.25
0	ATF4	4483.0
0	ATF5	656.0
0	ATF6	1972.5
0	ATF7IP2	729.5
0	ATG101	229.25
0	ATG16L1	1234.75
0	ATG4C	100.0
0	ATG4D	342.25
0	ATG9B	234.75
0	ATIC	2925.75
0	ATL2	942.25
0	ATMIN	2029.75
0	ATN1	3135.5
0	ATOX1	331.5
0	ATP10A	1002.75
0	ATP10B	185.5
0	ATP10D	214.0
0	ATP11A	1027.0
0	ATP11C	682.25
0	ATP12A	3.5
0	ATP13A3	4404.5
0	ATP13A4	35.75
0	ATP1A1	35459.75
0	ATP1A4	297.0
0	ATP1B3	593.5
0	ATP1B4	143.0
0	ATP23	162.25
0	ATP2A1	47.5
0	ATP2A2	6482.5
0	ATP2A3	3232.5
0	ATP2B2	23.75
0	ATP2B3	0.25
0	ATP2C2	98.5
0	ATP4B	2.5
0	ATP6AP1	653.5
0	ATP6V0D2	119.0
0	ATP6V0E1	1709.75
0	ATP6V0E2	471.25
0	ATP6V1B1	3.75
0	ATP6V1B2	1048.75
0	ATP6V1F	259.25
0	ATP6V1G1	386.75
0	ATP6V1H	636.25
0	ATP8A1	1265.5
0	ATP8A2	57.75
0	ATP8B1	276.0
0	ATPAF1	597.75
0	ATR	1245.75
0	ATRIP	281.0
0	ATRNL1	21.5
0	ATRX	2249.5
0	AUH	267.25
0	AUTS2	1624.75
0	AVIL	267.75
0	AVL9	1850.0
0	AVPR2	27.75
0	AWAT1	4.75
0	AXIN1	308.25
0	AXIN2	358.75
0	AZIN1	1140.25
0	AZIN2	136.5
0	AZU1	256.75
0	B3GALNT1	96.0
0	B3GALNT2	442.0
0	B3GALT1	139.75
0	B3GALT2	136.0
0	B3GALT5	33.0
0	B3GAT1	27.5
0	B3GAT2	102.25
0	B3GNT2	492.0
0	B3GNT3	10.25
0	B3GNT4	153.5
0	B3GNT5	2199.0
0	B3GNT6	81.0
0	B3GNT7	19.0
0	B3GNT8	6.0
0	B4GALNT1	26.25
0	B4GALNT3	81.5
0	B4GALT1	4874.25
0	B4GALT5	2562.5
0	B4GALT7	407.5
0	B4GAT1	69.0
0	B9D1	25.0
0	BAALC	11.75
0	BAAT	2.75
0	BABAM1	1115.5
0	BACE1	159.75
0	BAD	45.0
0	BAG2	523.0
0	BAHCC1	7.5
0	BAHD1	546.5
0	BAIAP2	82.0
0	BAIAP2L2	8.25
0	BAIAP3	299.5
0	BANK1	46.5
0	BARX2	83.0
0	BASP1	54.75
0	BATF	588.0
0	BATF3	380.25
0	BAZ2B	1329.75
0	BBC3	23.25
0	BBS1	449.25
0	BBS12	26.0
0	BBS4	330.75
0	BBS7	247.5
0	BBX	1152.25
0	BCAP29	422.0
0	BCAP31	567.0
0	BCAR1	14.0
0	BCAR3	123.5
0	BCAS1	119.5
0	BCAS3	588.5
0	BCAS4	1134.5
0	BCAT2	516.5
0	BCKDHA	145.75
0	BCL10	542.5
0	BCL11A	281.5
0	BCL2A1	249.75
0	BCL2L1	1270.0
0	BCL2L10	5.5
0	BCL2L11	1945.0
0	BCL2L15	995.0
0	BCL2L2	30.0
0	BCL6	1188.75
0	BCL6B	8.5
0	BCL9	2071.75
0	BCLAF1	10769.0
0	BCO2	170.0
0	BCOR	3628.75
0	BCORL1	637.0
0	BCR	1307.0
0	BCS1L	457.0
0	BDH1	2259.75
0	BDH2	90.0
0	BDKRB1	39.75
0	BDNF	8.75
0	BDP1	3254.5
0	BEAN1	133.5
0	BEGAIN	169.25
0	BEND2	912.75
0	BEND3	345.75
0	BEND3P3	58.75
0	BEND6	25.5
0	BEND7	70.0
0	BEST3	29.0
0	BET1	308.5
