GeneName	CD4_mean
AC090241.1	33.0
AC090286.3	19.25
AC090286.4	5.0
AC090287.3	1.75
AC090360.1	24.5
AC090498.1	0.0
AC090515.2	1.0
AC090517.1	0.0
AC090517.4	171.25
AC090519.1	28.0
AC090525.1	0.25
AC090527.3	0.0
AC090543.2	61.25
AC090543.3	8.75
AC090582.1	3.75
AC090589.1	0.25
AC090602.1	2.75
AC090607.2	52.5
AC090616.2	2.25
AC090616.5	0.0
AC090666.1	4.5
AC090686.1	3.0
AC090695.2	9.25
AC090720.1	147.75
AC090751.1	0.5
AC090950.1	266.25
AC090953.1	7.75
AC090960.1	6.75
AC090971.4	25.75
AC090971.5	19.0
AC091046.1	3.5
AC091046.2	6.0
AC091057.6	6.0
AC091133.7	6.25
AC091144.2	7.5
AC091152.1	3.0
AC091153.1	7.0
AC091163.3	0.0
AC091167.1	3.25
AC091167.2	4.5
AC091167.7	4.0
AC091179.2	0.5
AC091180.1	3.25
AC091185.2	0.0
AC091304.7	133.0
AC091390.1	4.5
AC091390.3	0.75
AC091390.4	13.5
AC091390.5	55.5
AC091393.1	68.75
AC091429.1	3.0
AC091516.1	34.75
AC091551.1	3.5
AC091564.1	4.25
AC091685.2	4.75
AC091805.1	4.75
AC091959.1	29.0
AC091959.2	10.0
AC091959.3	1786.25
AC091965.2	0.0
AC091980.1	0.5
AC091982.2	4.25
AC092017.1	2.75
AC092017.2	1.0
AC092032.1	9.25
AC092045.1	9.0
AC092053.2	1930.5
AC092066.1	1.0
AC092070.2	158.75
AC092073.1	26.5
AC092104.1	4.5
AC092115.2	2.5
AC092120.2	8.0
AC092128.1	4.0
AC092155.2	3.75
AC092299.1	0.0
AC092324.2	0.5
AC092329.3	136.5
AC092418.2	0.75
AC092427.1	6.75
AC092431.2	11.0
AC092447.10	59.0
AC092447.9	0.0
AC092471.1	2.75
AC092474.1	102.75
AC092506.1	100.5
AC092535.3	3.75
AC092580.1	1.25
AC092580.3	10.25
AC092587.1	453.5
AC092597.1	3.25
AC092612.1	15.5
AC092634.3	3.5
AC092647.5	2.25
AC092651.1	4.75
AC092656.1	642.5
AC092658.1	6.5
AC092681.1	0.75
AC092718.3	179.5
AC092718.8	209.75
AC092745.2	4.0
AC092747.2	7.5
AC092754.1	1.0
AC092757.1	1.25
AC092798.1	8.5
AC092809.2	6.75
AC092821.2	193.75
AC092821.3	2.25
AC092835.1	43.25
AC092865.1	4.0
AC092868.2	0.25
AC092910.1	7.0
AC092916.2	16.5
AC092933.1	105.5
AC092953.1	25.25
AC092991.1	1.5
AC093012.1	7.75
AC093063.1	10.75
AC093106.1	0.5
AC093107.1	1.5
AC093107.2	2.5
AC093142.1	1.0
AC093155.1	5.5
AC093155.2	2.25
AC093155.3	48.25
AC093162.3	65.25
AC093166.1	2.75
AC093166.2	4.25
AC093214.1	2.5
AC093227.2	7.75
AC093249.4	17.75
AC093270.2	7.0
AC093270.3	0.5
AC093278.1	8.25
AC093323.1	530.75
AC093367.1	9.75
AC093392.1	2.25
AC093392.2	6.25
AC093414.1	2.5
AC093422.1	11.25
AC093422.3	1.75
AC093423.1	6.75
AC093423.3	241.25
AC093512.2	56.25
AC093525.2	129.0
AC093582.1	6.75
AC093591.1	0.0
AC093655.2	5.5
AC093663.2	3.25
AC093668.1	4.5
AC093700.2	4.25
AC093716.1	0.25
AC093752.1	401.75
AC093763.2	7.0
AC093770.1	1.0
AC093789.1	17.5
AC093809.1	1266.5
AC093826.2	174.75
AC093827.3	2.75
AC093827.5	2525.5
AC093829.1	132.25
AC093890.1	0.25
AC093909.1	10.0
AC094019.2	25.25
AC095040.1	0.25
AC095041.1	1.25
AC096533.1	13.75
AC096582.2	5.75
AC096631.2	2.25
AC096638.1	0.5
AC096638.2	6.0
AC096664.2	2.5
AC096720.1	25.75
AC096751.1	5.0
AC096775.1	34.25
AC096861.1	7.75
AC096887.1	15.25
AC096915.1	1.25
AC096921.1	67.75
AC096922.1	1.0
AC097063.1	6.75
AC097104.1	13.75
AC097358.1	9.5
AC097374.1	45.25
AC097376.2	61.5
AC097484.1	2.0
AC097504.1	306.5
AC097625.2	16.75
AC097634.4	39.5
AC097636.1	98.0
AC097637.1	38.25
AC097638.1	7.25
AC097639.2	7.25
AC097658.2	1.5
AC097714.1	2.0
AC098484.3	7.75
AC098583.1	5.0
AC098583.2	4.5
AC098588.2	37.0
AC098590.1	2.25
AC098591.2	114.75
AC098591.3	56.5
AC098614.1	2.0
AC098614.2	21.75
AC098650.1	44.75
AC098827.1	18.5
AC098847.1	1.25
